Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
-0.025078	-0.066329	-0.025078	17.215206	-0.025078	0	0.000153	""	-0.025078	"Method Settings"	-0.000418	"1.A.1"	0	-0.02352
-0.024584	-0.050019	-0.024089	17.218517	-0.020123	0			-0.024984	"Equilibration"	0.100394	"Waste(Frac)"	0.000495	-0.023299
-0.024089	-0.054223	-0.023099	17.218548	-0.015168	0			-0.005409	"Sample Application"	0.108359	"1.A.2"	0.000989	-0.023079
-0.023594	-0.051905	-0.02211	17.218601	-0.010212	0			0.100892	"Elution"	0.308371	"1.A.3"	0.001484	-0.022859
-0.0231	-0.05027	-0.02112	17.218958	-0.005257	0					0.508711	"1.A.4"	0.001979	-0.022639
-0.022605	-0.052667	-0.02013	17.219297	-0.000302	0					0.708769	"1.A.5"	0.002474	-0.022418
-0.02211	-0.049464	-0.019141	17.219128	0.004654	0					0.908326	"1.A.6"	0.002968	-0.022198
-0.021615	-0.048385	-0.018151	17.220341	0.009609	0					1.108367	"1.A.7"	0.003463	-0.021978
-0.021121	-0.050705	-0.017161	17.220219	0.014564	0					1.308687	"1.A.8"	0.003958	-0.021757
-0.020626	-0.050398	-0.016172	17.220062	0.01952	0					1.508758	"1.A.9"	0.004453	-0.021537
-0.020131	-0.047078	-0.015182	17.220169	0.024475	0					1.708811	"1.A.10"	0.004947	-0.021317
-0.019636	-0.044765	-0.014192	17.220684	0.029431	0					1.908848	"1.A.11"	0.005442	-0.021098
-0.019142	-0.044263	-0.013203	17.221645	0.034386	0					2.10868	"1.A.12"	0.005937	-0.020879
-0.018647	-0.042957	-0.012213	17.222097	0.039341	0					2.308746	"1.B.1"	0.006432	-0.02066
-0.018152	-0.037555	-0.011223	17.221663	0.044297	0					2.508791	"1.B.2"	0.006926	-0.020441
-0.017657	-0.041014	-0.010234	17.220528	0.049252	0					2.708857	"1.B.3"	0.007421	-0.020222
-0.017163	-0.043486	-0.009244	17.218805	0.054207	0					2.908678	"1.B.4"	0.007916	-0.020003
-0.016668	-0.048494	-0.008255	17.216679	0.059163	0					3.046281	"Waste(Frac)"	0.008411	-0.019784
-0.016173	-0.051438	-0.007265	17.214428	0.064118	0					3.046773	"Waste(Frac)"	0.008905	-0.019565
-0.015678	-0.053836	-0.006275	17.212074	0.069074	0							0.0094	-0.019346
-0.015184	-0.054534	-0.005286	17.209763	0.074029	0							0.009895	-0.019127
-0.014689	-0.049018	-0.004296	17.207575	0.078984	0							0.01039	-0.018911
-0.014194	-0.04358	-0.003306	17.205471	0.08394	0							0.010884	-0.018695
-0.013699	-0.041751	-0.002317	17.203545	0.088895	0							0.011379	-0.018478
-0.013205	-0.043226	-0.001327	17.201878	0.09385	0							0.011874	-0.018262
-0.01271	-0.040837	-0.000337	17.197784	0.098806	0							0.012369	-0.018046
-0.012215	-0.038878	0.000652	17.199423	0.103761	0							0.012863	-0.01783
-0.01172	-0.038532	0.001642	17.200806	0.108716	0							0.013358	-0.017613
-0.011226	-0.037399	0.002632	17.201952	0.113672	0							0.013853	-0.017397
-0.010731	-0.03784	0.003621	17.203056	0.118627	0							0.014348	-0.017181
-0.010236	-0.040178	0.004611	17.203833	0.123583	0							0.014842	-0.016965
-0.009741	-0.042135	0.0056	17.204107	0.128538	0							0.015337	-0.016745
-0.009247	-0.041376	0.00659	17.203865	0.133493	0							0.015832	-0.016526
-0.008752	-0.042442	0.00758	17.203276	0.138449	0							0.016326	-0.016307
-0.008257	-0.039632	0.008569	17.202454	0.143404	0							0.016821	-0.016087
-0.007763	-0.039762	0.009559	17.201458	0.148359	0							0.017316	-0.015868
-0.007268	-0.040426	0.010549	17.200314	0.153315	0							0.017811	-0.015649
-0.006773	-0.026933	0.011538	17.199102	0.15827	0							0.018305	-0.015429
-0.006278	-0.000089	0.012528	17.197876	0.163226	0							0.0188	-0.01521
-0.005784	-0.00025	0.013518	17.196718	0.168181	0							0.019295	-0.014991
-0.005289	0.000506	0.014507	17.195702	0.173136	0							0.01979	-0.014772
-0.004794	0.001239	0.015497	17.194706	0.178092	0							0.020284	-0.014545
-0.004299	-0.001846	0.016487	17.193747	0.183047	0							0.020779	-0.014318
-0.003805	-0.003131	0.017476	17.192938	0.188002	0							0.021274	-0.01409
-0.00331	-0.004063	0.018466	17.192192	0.192958	0							0.021769	-0.013863
-0.002815	-0.002452	0.019455	17.191473	0.197913	0							0.022263	-0.013636
-0.00232	-0.001609	0.020445	17.190826	0.202868	0							0.022758	-0.013409
-0.001826	-0.00439	0.021435	17.190247	0.207824	0							0.023253	-0.013472
-0.001331	-0.003842	0.022424	17.189722	0.212779	0							0.023748	-0.012955
-0.000836	-0.002496	0.023414	17.189146	0.217735	0							0.024242	-0.012728
-0.000341	0.007124	0.024404	17.188488	0.22269	0							0.024737	-0.012501
0.000153	0.003601	0.025393	17.187885	0.227645	0							0.025232	-0.012281
0.000648	0.005187	0.026383	17.187325	0.232601	0							0.025727	-0.013477
0.001143	0.006316	0.027373	17.186764	0.237556	0							0.026221	-0.018445
0.001638	0.001813	0.028362	17.186178	0.242511	0							0.026716	-0.017521
0.002132	-0.002645	0.029352	17.185509	0.247467	0							0.027211	-0.014086
0.002627	-0.003929	0.030342	17.184692	0.252422	0							0.027706	-0.01118
0.003122	-0.005544	0.031331	17.183813	0.257378	0							0.0282	-0.01096
0.003617	-0.005824	0.032321	17.182886	0.262333	0							0.028695	-0.01074
0.004111	-0.00385	0.03331	17.181963	0.267288	0							0.02919	-0.011544
0.004606	-0.005626	0.0343	17.181101	0.272244	0							0.029685	-0.012204
0.005101	-0.008072	0.03529	17.18014	0.277199	0							0.030179	-0.010073
0.005596	-0.009086	0.036279	17.179106	0.282154	0							0.030674	-0.009845
0.00609	-0.008984	0.037269	17.177896	0.28711	0							0.031169	-0.009618
0.006585	-0.004387	0.038259	17.176683	0.292065	0							0.031663	-0.009391
0.00708	0.000356	0.039248	17.17547	0.297021	0							0.032158	-0.009163
0.007574	0.004547	0.040238	17.174294	0.301976	0							0.032653	-0.010516
0.008069	0.006155	0.041228	17.172899	0.306931	0							0.033148	-0.010153
0.008564	0.008415	0.042217	17.171196	0.311887	0							0.033642	-0.008481
0.009059	0.010331	0.043207	17.16979	0.316842	0							0.034137	-0.008254
0.009553	0.006885	0.044197	17.16835	0.321797	0							0.034632	-0.008027
0.010048	0.007841	0.045186	17.166752	0.326753	0							0.035127	-0.007787
0.010543	0.008644	0.046176	17.165157	0.331708	0							0.035621	-0.007548
0.011038	0.008161	0.047165	17.163591	0.336663	0							0.036116	-0.007309
0.011532	0.005446	0.048155	17.16188	0.341619	0							0.036611	-0.00707
0.012027	0.002834	0.049145	17.16021	0.346574	0							0.037106	-0.006831
0.012522	-0.002752	0.050134	17.158484	0.35153	0							0.0376	-0.006591
0.013017	0.000629	0.051124	17.156668	0.356485	0							0.038095	-0.006352
0.013511	-0.00149	0.052114	17.154861	0.36144	0							0.03859	-0.006113
0.014006	-0.007294	0.053103	17.153061	0.366396	0							0.039085	-0.010651
0.014501	-0.001662	0.054093	17.151232	0.371351	0							0.039579	-0.010249
0.014996	-0.000816	0.055083	17.149391	0.376306	0							0.040074	-0.010886
0.01549	0.000477	0.056072	17.14748	0.381262	0							0.040569	-0.010602
0.015985	0.001215	0.057062	17.145388	0.386217	0							0.041064	-0.010419
0.01648	0.002198	0.058052	17.143526	0.391173	0							0.041558	-0.007912
0.016975	-0.001983	0.059041	17.141516	0.396128	0							0.042053	-0.007772
0.017469	-0.001286	0.060031	17.139462	0.401083	0							0.042548	-0.009869
0.017964	-0.001416	0.06102	17.137493	0.406039	0							0.043043	-0.009138
0.018459	-0.003276	0.06201	17.13553	0.410994	0							0.043537	-0.00804
0.018954	-0.002386	0.063	17.133528	0.415949	0							0.044032	-0.010614
0.019448	-0.005414	0.063989	17.131456	0.420905	0							0.044527	-0.010492
0.019943	-0.007434	0.064979	17.129446	0.42586	0							0.045021	-0.006859
0.020438	-0.009204	0.065969	17.127359	0.430815	0							0.045516	-0.005948
0.020932	-0.008734	0.066958	17.125422	0.435771	0							0.046011	-0.008208
0.021427	-0.007083	0.067948	17.123487	0.440726	0							0.046506	-0.011943
0.021922	-0.004736	0.068938	17.121447	0.445682	0							0.047	-0.014486
