Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
-0.024722	0	-0.024722	17.205456	-0.024722	0	0.000014	""	-0.024722	"Method Settings"	-0.000407	"1.A.1"	0	-0.009811
-0.024228	-0.028622	-0.023733	17.206676	-0.019771	0			-0.024627	"Equilibration"	0.100591	"Waste(Frac)"	0.000495	-0.00975
-0.023733	-0.029698	-0.022743	17.206699	-0.01482	0			-0.005392	"Sample Application"	0.108553	"1.A.2"	0.000989	-0.009688
-0.023238	-0.029157	-0.021754	17.206825	-0.009869	0			0.101089	"Elution"	0.308589	"1.A.3"	0.001484	-0.009626
-0.022743	-0.026425	-0.020765	17.20709	-0.004918	0					0.508639	"1.A.4"	0.001979	-0.009565
-0.022249	-0.024167	-0.019775	17.20718	0.000033	0					0.708975	"1.A.5"	0.002474	-0.009503
-0.021754	-0.021646	-0.018786	17.20862	0.004985	0					0.909017	"1.A.6"	0.002968	-0.009442
-0.021259	-0.014279	-0.017796	17.211514	0.009936	0					1.108574	"1.A.7"	0.003463	-0.00938
-0.020765	-0.011956	-0.016807	17.211115	0.014887	0					1.308627	"1.A.8"	0.003958	-0.009318
-0.02027	-0.01165	-0.015817	17.211061	0.019838	0					1.508964	"1.A.9"	0.004452	-0.009257
-0.019775	-0.010369	-0.014828	17.21137	0.024789	0					1.709004	"1.A.10"	0.004947	-0.009195
-0.01928	-0.011207	-0.013839	17.212198	0.02974	0					1.909078	"1.A.11"	0.005442	-0.009133
-0.018786	-0.006438	-0.012849	17.213238	0.034691	0					2.109131	"1.A.12"	0.005937	-0.00907
-0.018291	-0.008469	-0.01186	17.213823	0.039642	0					2.30894	"1.B.1"	0.006431	-0.009008
-0.017796	-0.011523	-0.01087	17.213644	0.044594	0					2.508998	"1.B.2"	0.006926	-0.008945
-0.017302	-0.008199	-0.009881	17.212831	0.049545	0					2.709067	"1.B.3"	0.007421	-0.008883
-0.016807	-0.010752	-0.008891	17.211617	0.054496	0					2.909117	"1.B.4"	0.007915	-0.00882
-0.016312	-0.006559	-0.007902	17.21019	0.059447	0					3.046472	"Waste(Frac)"	0.00841	-0.008757
-0.015817	-0.006051	-0.006913	17.208612	0.064398	0					3.046972	"Waste(Frac)"	0.008905	-0.008695
-0.015323	-0.002826	-0.005923	17.206881	0.069349	0							0.0094	-0.008632
-0.014828	-0.000134	-0.004934	17.205008	0.0743	0							0.009894	-0.00857
-0.014333	-0.000751	-0.003944	17.203093	0.079251	0							0.010389	-0.008509
-0.013839	0.001792	-0.002955	17.201229	0.084203	0							0.010884	-0.008447
-0.013344	0.004822	-0.001965	17.199495	0.089154	0							0.011378	-0.008386
-0.012849	0.003504	-0.000976	17.197958	0.094105	0							0.011873	-0.008325
-0.012354	0.000913	0.000014	17.199478	0.099056	0							0.012368	-0.008264
-0.01186	0.006431	0.001003	17.201065	0.104007	0							0.012863	-0.008203
-0.011365	-0.000278	0.001992	17.201668	0.108958	0							0.013357	-0.008142
-0.01087	-0.004088	0.002982	17.202185	0.113909	0							0.013852	-0.00808
-0.010375	-0.008957	0.003971	17.202721	0.11886	0							0.014347	-0.008019
-0.009881	-0.011861	0.004961	17.2033	0.123812	0							0.014841	-0.007958
-0.009386	-0.009451	0.00595	17.20388	0.128763	0							0.015336	-0.007896
-0.008891	-0.007458	0.00694	17.204445	0.133714	0							0.015831	-0.007834
-0.008397	-0.007574	0.007929	17.204956	0.138665	0							0.016326	-0.007772
-0.007902	-0.010424	0.008918	17.205463	0.143616	0							0.01682	-0.00771
-0.007407	-0.013693	0.009908	17.206001	0.148567	0							0.017315	-0.007648
-0.006912	-0.01916	0.010897	17.206549	0.153518	0							0.01781	-0.007586
-0.006418	-0.001069	0.011887	17.207088	0.15847	0							0.018305	-0.007524
-0.005923	0.000311	0.012876	17.207554	0.163421	0							0.018799	-0.007462
-0.005428	0.000025	0.013866	17.208029	0.168372	0							0.019294	-0.0074
-0.004934	0.001716	0.014855	17.208498	0.173323	0							0.019789	-0.007338
-0.004439	0.00593	0.015844	17.208931	0.178274	0							0.020283	-0.007274
-0.003944	0.008446	0.016834	17.209349	0.183225	0							0.020778	-0.00721
-0.003449	0.005941	0.017823	17.20981	0.188176	0							0.021273	-0.007146
-0.002955	0.007103	0.018813	17.210236	0.193127	0							0.021768	-0.007082
-0.00246	0.007593	0.019802	17.210629	0.198079	0							0.022262	-0.007018
-0.001965	0.004072	0.020792	17.211077	0.20303	0							0.022757	-0.006955
-0.001471	0.009471	0.021781	17.211626	0.207981	0							0.023252	-0.006891
-0.000976	0.012082	0.02277	17.212097	0.212932	0							0.023746	-0.006827
-0.000481	0.014246	0.02376	17.212513	0.217883	0							0.024241	-0.006763
0.000014	0.013988	0.024749	17.212971	0.222834	0							0.024736	-0.006699
0.000508	0.014853	0.025739	17.213499	0.227785	0							0.025231	-0.006639
0.001003	0.011811	0.026728	17.214037	0.232736	0							0.025725	-0.006578
0.001498	0.009906	0.027718	17.214561	0.237688	0							0.02622	-0.006518
0.001992	0.007787	0.028707	17.215054	0.242639	0							0.026715	-0.006457
0.002487	0.010368	0.029696	17.215488	0.24759	0							0.027209	-0.006397
0.002982	0.009221	0.030686	17.21587	0.252541	0							0.027704	-0.006336
0.003477	0.011181	0.031675	17.216087	0.257492	0							0.028199	-0.006276
0.003971	0.012196	0.032665	17.21603	0.262443	0							0.028694	-0.006215
0.004466	0.010139	0.033654	17.215734	0.267394	0							0.029188	-0.006155
0.004961	0.010542	0.034644	17.215273	0.272345	0							0.029683	-0.006094
0.005455	0.018665	0.035633	17.214605	0.277297	0							0.030178	-0.00603
0.00595	0.022563	0.036622	17.2138	0.282248	0							0.030672	-0.005966
0.006445	0.021962	0.037612	17.212803	0.287199	0							0.031167	-0.005902
0.00694	0.021669	0.038601	17.211699	0.29215	0							0.031662	-0.005838
0.007434	0.017915	0.039591	17.210506	0.297101	0							0.032157	-0.005774
0.007929	0.020652	0.04058	17.209131	0.302052	0							0.032651	-0.005709
0.008424	0.014746	0.04157	17.207825	0.307003	0							0.033146	-0.005645
0.008918	0.013049	0.042559	17.206554	0.311954	0							0.033641	-0.005581
0.009413	0.017752	0.043548	17.20542	0.316906	0							0.034135	-0.005517
0.009908	0.016691	0.044538	17.204252	0.321857	0							0.03463	-0.005453
0.010403	0.0139	0.045527	17.203369	0.326808	0							0.035125	-0.005392
0.010897	0.015338	0.046517	17.202532	0.331759	0							0.03562	-0.005331
0.011392	0.015927	0.047506	17.201956	0.33671	0							0.036114	-0.00527
0.011887	0.01631	0.048496	17.201515	0.341661	0							0.036609	-0.005209
0.012381	0.014283	0.049485	17.201103	0.346612	0							0.037104	-0.005148
0.012876	0.014857	0.050474	17.200857	0.351564	0							0.037598	-0.005088
0.013371	0.01825	0.051464	17.200762	0.356515	0							0.038093	-0.005027
0.013866	0.016375	0.052453	17.200562	0.361466	0							0.038588	-0.004966
0.01436	0.012421	0.053443	17.200413	0.366417	0							0.039083	-0.004905
0.014855	0.01558	0.054432	17.200377	0.371368	0							0.039577	-0.004844
0.01535	0.01558	0.055422	17.200382	0.376319	0							0.040072	-0.004788
0.015844	0.011893	0.056411	17.200445	0.38127	0							0.040567	-0.004731
0.016339	0.007907	0.057401	17.200556	0.386221	0							0.041061	-0.004675
0.016834	0.010911	0.05839	17.200672	0.391173	0							0.041556	-0.004618
0.017329	0.010302	0.059379	17.200766	0.396124	0							0.042051	-0.004562
0.017823	0.008062	0.060369	17.200853	0.401075	0							0.042546	-0.004505
0.018318	0.003921	0.061358	17.200848	0.406026	0							0.04304	-0.004449
0.018813	0.005381	0.062348	17.200783	0.410977	0							0.043535	-0.004392
0.019307	0.002973	0.063337	17.200609	0.415928	0							0.04403	-0.004336
0.019802	-0.000998	0.064327	17.200317	0.420879	0							0.044524	-0.004279
0.020297	-0.002674	0.065316	17.199974	0.42583	0							0.045019	-0.004219
0.020792	-0.001516	0.066305	17.199474	0.430782	0							0.045514	-0.004159
0.021286	0.002396	0.067295	17.198784	0.435733	0							0.046009	-0.004098
0.021781	-0.002712	0.068284	17.19803	0.440684	0							0.046503	-0.004038
0.022276	-0.002229	0.069274	17.197258	0.445635	0							0.046998	-0.003978
0.022771	-0.001186	0.070263	17.196466	0.450586	0							0.047493	-0.003918
