Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Run Log		Fraction		UV_CUT_TEMP@100,BASEM	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Logbook	ml	Fraction	ml	mAU
-0.024624	0	-0.024624	17.154921	-0.024624	0	0.000112	""	-0.024624	"Method Settings"	-0.000414	"1.A.1"	0	-0.01772
-0.024129	-0.028447	-0.023634	17.156967	-0.019671	0			-0.024534	"Equilibration"	0.100671	"Waste(Frac)"	0.000495	-0.017714
-0.023634	-0.033718	-0.022645	17.157001	-0.014718	0			-0.005381	"Sample Application"	0.108629	"1.A.2"	0.000989	-0.017708
-0.02314	-0.041328	-0.021656	17.157135	-0.009766	0			0.101161	"Elution"	0.308676	"1.A.3"	0.001484	-0.017702
-0.022645	-0.045169	-0.020666	17.15733	-0.004813	0					0.508728	"1.A.4"	0.001979	-0.017696
-0.02215	-0.042528	-0.019677	17.157272	0.00014	0					0.708795	"1.A.5"	0.002474	-0.01769
-0.021656	-0.042294	-0.018687	17.159388	0.005092	0					0.909092	"1.A.6"	0.002968	-0.017684
-0.021161	-0.045855	-0.017698	17.16287	0.010045	0					1.108668	"1.A.7"	0.003463	-0.017679
-0.020666	-0.050442	-0.016708	17.162403	0.014998	0					1.308709	"1.A.8"	0.003958	-0.017673
-0.020171	-0.048929	-0.015719	17.162291	0.01995	0					1.508773	"1.A.9"	0.004452	-0.017667
-0.019677	-0.053483	-0.01473	17.162561	0.024903	0					1.709081	"1.A.10"	0.004947	-0.017661
-0.019182	-0.056117	-0.01374	17.163391	0.029856	0					1.909153	"1.A.11"	0.005442	-0.017655
-0.018687	-0.054735	-0.012751	17.164253	0.034809	0					2.109203	"1.A.12"	0.005937	-0.017649
-0.018193	-0.042171	-0.011761	17.164507	0.039761	0					2.308764	"1.B.1"	0.006431	-0.017643
-0.017698	-0.035973	-0.010772	17.16408	0.044714	0					2.509075	"1.B.2"	0.006926	-0.017637
-0.017203	-0.040925	-0.009782	17.163055	0.049667	0					2.709128	"1.B.3"	0.007421	-0.01763
-0.016708	-0.040421	-0.008793	17.161657	0.054619	0					2.909199	"1.B.4"	0.007915	-0.017624
-0.016214	-0.036072	-0.007804	17.16	0.059572	0					3.046546	"Waste(Frac)"	0.00841	-0.017618
-0.015719	-0.037703	-0.006814	17.158237	0.064525	0					3.047046	"Waste(Frac)"	0.008905	-0.017612
-0.015224	-0.036558	-0.005825	17.156551	0.069477	0							0.0094	-0.017606
-0.01473	-0.034172	-0.004835	17.154957	0.07443	0							0.009894	-0.0176
-0.014235	-0.036906	-0.003846	17.153574	0.079383	0							0.010389	-0.017594
-0.01374	-0.037554	-0.002857	17.152466	0.084336	0							0.010884	-0.017588
-0.013245	-0.040839	-0.001867	17.151598	0.089288	0							0.011378	-0.017582
-0.012751	-0.041274	-0.000878	17.150879	0.094241	0							0.011873	-0.017576
-0.012256	-0.041633	0.000112	17.152992	0.099194	0							0.012368	-0.01757
-0.011761	-0.040968	0.001101	17.154018	0.104146	0							0.012863	-0.017564
-0.011267	-0.037495	0.002091	17.154665	0.109099	0							0.013357	-0.017558
-0.010772	-0.032268	0.00308	17.15521	0.114052	0							0.013852	-0.017552
-0.010277	-0.031871	0.004069	17.155798	0.119004	0							0.014347	-0.017546
-0.009782	-0.035015	0.005059	17.156425	0.123957	0							0.014841	-0.01754
-0.009288	-0.028877	0.006048	17.157028	0.12891	0							0.015336	-0.017534
-0.008793	-0.026846	0.007038	17.157665	0.133863	0							0.015831	-0.017528
-0.008298	-0.024686	0.008027	17.158363	0.138815	0							0.016326	-0.017521
-0.007804	-0.022882	0.009017	17.159161	0.143768	0							0.01682	-0.017515
-0.007309	-0.022201	0.010006	17.160105	0.148721	0							0.017315	-0.017509
-0.006814	-0.017797	0.010995	17.161106	0.153673	0							0.01781	-0.017503
-0.006319	-0.00038	0.011985	17.162113	0.158626	0							0.018304	-0.017496
-0.005825	-0.003471	0.012974	17.163208	0.163579	0							0.018799	-0.01749
-0.00533	0.000616	0.013964	17.164131	0.168531	0							0.019294	-0.017484
-0.004835	0.006027	0.014953	17.164595	0.173484	0							0.019789	-0.017478
-0.004341	0.002751	0.015943	17.164516	0.178437	0							0.020283	-0.017471
-0.003846	0.000863	0.016932	17.164007	0.183389	0							0.020778	-0.017465
-0.003351	0.001342	0.017921	17.163208	0.188342	0							0.021273	-0.017459
-0.002856	0.001214	0.018911	17.162169	0.193295	0							0.021767	-0.019158
-0.002362	0.005209	0.0199	17.160923	0.198248	0							0.022262	-0.021959
-0.001867	-0.000498	0.02089	17.159615	0.2032	0							0.022757	-0.020665
-0.001372	-0.003316	0.021879	17.158348	0.208153	0							0.023251	-0.01822
-0.000878	-0.002006	0.022869	17.157017	0.213106	0							0.023746	-0.01772
-0.000383	0.00605	0.023858	17.155844	0.218058	0							0.024241	-0.017422
0.000112	-0.013435	0.024847	17.154737	0.223011	0							0.024736	-0.017416
0.000607	-0.012862	0.025837	17.153822	0.227964	0							0.02523	-0.01741
0.001101	-0.011824	0.026826	17.153067	0.232916	0							0.025725	-0.017404
0.001596	-0.012293	0.027816	17.152376	0.237869	0							0.02622	-0.017399
0.002091	-0.011606	0.028805	17.151793	0.242822	0							0.026714	-0.017393
0.002585	-0.009544	0.029794	17.1514	0.247775	0							0.027209	-0.017387
0.00308	-0.008045	0.030784	17.151045	0.252727	0							0.027704	-0.017381
0.003575	-0.008495	0.031773	17.150694	0.25768	0							0.028199	-0.017375
0.00407	-0.007318	0.032763	17.150389	0.262633	0							0.028693	-0.01737
0.004564	-0.007093	0.033752	17.150099	0.267585	0							0.029188	-0.017364
0.005059	-0.005142	0.034742	17.149965	0.272538	0							0.029683	-0.017358
0.005554	-0.00365	0.035731	17.149897	0.277491	0							0.030177	-0.017352
0.006048	-0.000705	0.03672	17.149668	0.282443	0							0.030672	-0.017346
0.006543	0.000366	0.03771	17.149607	0.287396	0							0.031167	-0.01734
0.007038	-0.000223	0.038699	17.149353	0.292349	0							0.031662	-0.017334
0.007532	0.004857	0.039689	17.149122	0.297302	0							0.032156	-0.017328
0.008027	0.004552	0.040678	17.148905	0.302254	0							0.032651	-0.017322
0.008522	0.002954	0.041668	17.148693	0.307207	0							0.033146	-0.017316
0.009017	0.00101	0.042657	17.148312	0.31216	0							0.03364	-0.017309
0.009511	-0.000792	0.043646	17.147892	0.317112	0							0.034135	-0.017303
0.010006	-0.000629	0.044636	17.147408	0.322065	0							0.03463	-0.017297
0.010501	-0.001976	0.045625	17.146866	0.327018	0							0.035125	-0.017291
0.010995	-0.003273	0.046615	17.14632	0.33197	0							0.035619	-0.017285
0.01149	-0.005768	0.047604	17.14562	0.336923	0							0.036114	-0.017278
0.011985	-0.008993	0.048594	17.144876	0.341876	0							0.036609	-0.017272
0.01248	-0.012023	0.049583	17.144087	0.346828	0							0.037103	-0.017265
0.012974	-0.014341	0.050572	17.143312	0.351781	0							0.037598	-0.017259
0.013469	-0.011443	0.051562	17.142431	0.356734	0							0.038093	-0.017253
0.013964	-0.007244	0.052551	17.141453	0.361687	0							0.038588	-0.017246
0.014458	-0.005031	0.053541	17.140442	0.366639	0							0.039082	-0.01724
0.014953	-0.001257	0.05453	17.139484	0.371592	0							0.039577	-0.017234
0.015448	0.000526	0.055519	17.138355	0.376545	0							0.040072	-0.017228
0.015943	-0.001431	0.056509	17.137215	0.381497	0							0.040566	-0.017223
0.016437	-0.001869	0.057498	17.136028	0.38645	0							0.041061	-0.017217
0.016932	0.003459	0.058488	17.134855	0.391403	0							0.041556	-0.017211
0.017427	0.007594	0.059477	17.133656	0.396355	0							0.042051	-0.017206
0.017921	0.007659	0.060467	17.132469	0.401308	0							0.042545	-0.0172
0.018416	0.005923	0.061456	17.131229	0.406261	0							0.04304	-0.017195
0.018911	0.002598	0.062445	17.129963	0.411214	0							0.043535	-0.017189
0.019406	-0.000671	0.063435	17.128746	0.416166	0							0.044029	-0.017183
0.0199	-0.007061	0.064424	17.127466	0.421119	0							0.044524	-0.017178
0.020395	-0.012414	0.065414	17.1262	0.426072	0							0.045019	-0.017172
0.02089	-0.013401	0.066403	17.124983	0.431024	0							0.045514	-0.017166
0.021384	-0.013982	0.067393	17.12373	0.435977	0							0.046008	-0.017161
0.021879	-0.019158	0.068382	17.122406	0.44093	0							0.046503	-0.017155
0.022374	-0.021959	0.069371	17.121052	0.445882	0							0.046998	-0.017149
