User: USER;Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data;Test run no.: 153
Test name: Mpro_FRET_TJ_Aug2021;Date: 18.08.2021;Time: 15:52:35

Fluorescence (FI)

Cycle 100 (8 min 15 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;166624;;;;;;;;;;
B;;190237;;;;;;;;;;
C;;162466;;;;;;;;;;
D;;84384;;;;;;;;;;
E;;37525;;;;;;;;;;
F;;24218;;;;;;;;;;
G;;3049;;;;;;;;;;
H;;826;;;;;;;;;;

Cycle 99 (8 min 10 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;166700;;;;;;;;;;
B;;188274;;;;;;;;;;
C;;161103;;;;;;;;;;
D;;83071;;;;;;;;;;
E;;38223;;;;;;;;;;
F;;23456;;;;;;;;;;
G;;3203;;;;;;;;;;
H;;-178;;;;;;;;;;

Cycle 98 (8 min 5 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;167196;;;;;;;;;;
B;;183049;;;;;;;;;;
C;;158352;;;;;;;;;;
D;;84109;;;;;;;;;;
E;;38040;;;;;;;;;;
F;;23467;;;;;;;;;;
G;;3029;;;;;;;;;;
H;;-187;;;;;;;;;;

Cycle 97 (8 min)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;165930;;;;;;;;;;
B;;180878;;;;;;;;;;
C;;157255;;;;;;;;;;
D;;86417;;;;;;;;;;
E;;37176;;;;;;;;;;
F;;25158;;;;;;;;;;
G;;2372;;;;;;;;;;
H;;-1;;;;;;;;;;

Cycle 96 (7 min 55 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;164391;;;;;;;;;;
B;;177595;;;;;;;;;;
C;;158637;;;;;;;;;;
D;;88160;;;;;;;;;;
E;;37173;;;;;;;;;;
F;;27810;;;;;;;;;;
G;;2513;;;;;;;;;;
H;;-67;;;;;;;;;;

Cycle 95 (7 min 50 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;161667;;;;;;;;;;
B;;178432;;;;;;;;;;
C;;160976;;;;;;;;;;
D;;89059;;;;;;;;;;
E;;37015;;;;;;;;;;
F;;29117;;;;;;;;;;
G;;2839;;;;;;;;;;
H;;-18;;;;;;;;;;

Cycle 94 (7 min 45 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;165310;;;;;;;;;;
B;;177361;;;;;;;;;;
C;;160870;;;;;;;;;;
D;;87770;;;;;;;;;;
E;;36123;;;;;;;;;;
F;;28881;;;;;;;;;;
G;;1755;;;;;;;;;;
H;;14;;;;;;;;;;

Cycle 93 (7 min 40 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;163732;;;;;;;;;;
B;;181507;;;;;;;;;;
C;;164279;;;;;;;;;;
D;;85758;;;;;;;;;;
E;;37803;;;;;;;;;;
F;;27336;;;;;;;;;;
G;;2744;;;;;;;;;;
H;;67;;;;;;;;;;

Cycle 92 (7 min 35 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;164204;;;;;;;;;;
B;;183198;;;;;;;;;;
C;;164324;;;;;;;;;;
D;;84535;;;;;;;;;;
E;;36550;;;;;;;;;;
F;;25904;;;;;;;;;;
G;;2455;;;;;;;;;;
H;;-244;;;;;;;;;;

Cycle 91 (7 min 30 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;164671;;;;;;;;;;
B;;183853;;;;;;;;;;
C;;162828;;;;;;;;;;
D;;84663;;;;;;;;;;
E;;37567;;;;;;;;;;
F;;25894;;;;;;;;;;
G;;2689;;;;;;;;;;
H;;-340;;;;;;;;;;

Cycle 90 (7 min 25 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;165388;;;;;;;;;;
B;;186872;;;;;;;;;;
C;;164733;;;;;;;;;;
D;;84338;;;;;;;;;;
E;;38367;;;;;;;;;;
F;;25411;;;;;;;;;;
G;;3499;;;;;;;;;;
H;;429;;;;;;;;;;

Cycle 89 (7 min 20 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;164203;;;;;;;;;;
B;;187452;;;;;;;;;;
C;;163860;;;;;;;;;;
D;;83633;;;;;;;;;;
E;;38070;;;;;;;;;;
F;;25616;;;;;;;;;;
G;;4013;;;;;;;;;;
H;;627;;;;;;;;;;

Cycle 88 (7 min 15 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;163054;;;;;;;;;;
B;;183761;;;;;;;;;;
C;;162784;;;;;;;;;;
D;;82785;;;;;;;;;;
E;;37472;;;;;;;;;;
F;;26465;;;;;;;;;;
G;;2594;;;;;;;;;;
H;;-265;;;;;;;;;;

Cycle 87 (7 min 10 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;158503;;;;;;;;;;
B;;183685;;;;;;;;;;
C;;158655;;;;;;;;;;
D;;84046;;;;;;;;;;
E;;38140;;;;;;;;;;
F;;27510;;;;;;;;;;
G;;2672;;;;;;;;;;
H;;63;;;;;;;;;;

Cycle 86 (7 min 5 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;157285;;;;;;;;;;
B;;183667;;;;;;;;;;
C;;161130;;;;;;;;;;
D;;85195;;;;;;;;;;
E;;38033;;;;;;;;;;
F;;28737;;;;;;;;;;
G;;3246;;;;;;;;;;
H;;410;;;;;;;;;;

Cycle 85 (7 min)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;157488;;;;;;;;;;
B;;177551;;;;;;;;;;
C;;162896;;;;;;;;;;
D;;85195;;;;;;;;;;
E;;37649;;;;;;;;;;
F;;28948;;;;;;;;;;
G;;2868;;;;;;;;;;
H;;687;;;;;;;;;;

Cycle 84 (6 min 55 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;156700;;;;;;;;;;
B;;183203;;;;;;;;;;
C;;162035;;;;;;;;;;
D;;86907;;;;;;;;;;
E;;37728;;;;;;;;;;
F;;29294;;;;;;;;;;
G;;2665;;;;;;;;;;
H;;19;;;;;;;;;;

Cycle 83 (6 min 50 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;158529;;;;;;;;;;
B;;183028;;;;;;;;;;
