User: USER;Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data;Test run no.: 154
Test name: Mpro_FRET_TJ_Aug2021;Date: 18.08.2021;Time: 16:14:10

Fluorescence (FI)

Cycle 100 (8 min 15 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;166449;;;;;;;;;
B;;;144155;;;;;;;;;
C;;;143150;;;;;;;;;
D;;;78584;;;;;;;;;
E;;;28314;;;;;;;;;
F;;;11080;;;;;;;;;
G;;;1751;;;;;;;;;
H;;;123;;;;;;;;;

Cycle 99 (8 min 10 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;163549;;;;;;;;;
B;;;144256;;;;;;;;;
C;;;142570;;;;;;;;;
D;;;78572;;;;;;;;;
E;;;30180;;;;;;;;;
F;;;11442;;;;;;;;;
G;;;1639;;;;;;;;;
H;;;134;;;;;;;;;

Cycle 98 (8 min 5 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;164953;;;;;;;;;
B;;;143041;;;;;;;;;
C;;;140291;;;;;;;;;
D;;;77028;;;;;;;;;
E;;;30229;;;;;;;;;
F;;;10886;;;;;;;;;
G;;;1509;;;;;;;;;
H;;;-434;;;;;;;;;

Cycle 97 (8 min)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;161867;;;;;;;;;
B;;;144042;;;;;;;;;
C;;;143029;;;;;;;;;
D;;;77691;;;;;;;;;
E;;;30080;;;;;;;;;
F;;;10500;;;;;;;;;
G;;;2331;;;;;;;;;
H;;;-3;;;;;;;;;

Cycle 96 (7 min 55 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;164222;;;;;;;;;
B;;;141932;;;;;;;;;
C;;;140633;;;;;;;;;
D;;;78570;;;;;;;;;
E;;;30039;;;;;;;;;
F;;;10293;;;;;;;;;
G;;;1199;;;;;;;;;
H;;;-395;;;;;;;;;

Cycle 95 (7 min 50 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;164606;;;;;;;;;
B;;;144626;;;;;;;;;
C;;;143111;;;;;;;;;
D;;;78863;;;;;;;;;
E;;;30312;;;;;;;;;
F;;;11360;;;;;;;;;
G;;;2033;;;;;;;;;
H;;;443;;;;;;;;;

Cycle 94 (7 min 45 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;163796;;;;;;;;;
B;;;143055;;;;;;;;;
C;;;143478;;;;;;;;;
D;;;79769;;;;;;;;;
E;;;30724;;;;;;;;;
F;;;11896;;;;;;;;;
G;;;2577;;;;;;;;;
H;;;248;;;;;;;;;

Cycle 93 (7 min 40 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;162950;;;;;;;;;
B;;;143058;;;;;;;;;
C;;;142323;;;;;;;;;
D;;;78444;;;;;;;;;
E;;;29706;;;;;;;;;
F;;;11731;;;;;;;;;
G;;;1830;;;;;;;;;
H;;;-58;;;;;;;;;

Cycle 92 (7 min 35 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;160339;;;;;;;;;
B;;;140579;;;;;;;;;
C;;;141035;;;;;;;;;
D;;;79751;;;;;;;;;
E;;;30374;;;;;;;;;
F;;;11291;;;;;;;;;
G;;;2060;;;;;;;;;
H;;;186;;;;;;;;;

Cycle 91 (7 min 30 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;161181;;;;;;;;;
B;;;140238;;;;;;;;;
C;;;143209;;;;;;;;;
D;;;79538;;;;;;;;;
E;;;31061;;;;;;;;;
F;;;11557;;;;;;;;;
G;;;2352;;;;;;;;;
H;;;843;;;;;;;;;

Cycle 90 (7 min 25 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;158053;;;;;;;;;
B;;;141685;;;;;;;;;
C;;;143092;;;;;;;;;
D;;;78399;;;;;;;;;
E;;;30476;;;;;;;;;
