User: USER;Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data;Test run no.: 158
Test name: Mpro_FRET_TJ_Aug2021;Date: 18.08.2021;Time: 17:02:55

Fluorescence (FI)

Cycle 120 (9 min 55 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;;;;;27099;;;;;
B;;;;;;;47583;;;;;
C;;;;;;;101326;;;;;
D;;;;;;;63712;;;;;
E;;;;;;;26263;;;;;
F;;;;;;;10563;;;;;
G;;;;;;;1667;;;;;
H;;;;;;;1556;;;;;

Cycle 119 (9 min 50 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;;;;;26749;;;;;
B;;;;;;;47656;;;;;
C;;;;;;;100109;;;;;
D;;;;;;;60818;;;;;
E;;;;;;;25283;;;;;
F;;;;;;;10466;;;;;
G;;;;;;;690;;;;;
H;;;;;;;1165;;;;;

Cycle 118 (9 min 45 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;;;;;26073;;;;;
B;;;;;;;47076;;;;;
C;;;;;;;98857;;;;;
D;;;;;;;60495;;;;;
E;;;;;;;25301;;;;;
F;;;;;;;10414;;;;;
G;;;;;;;712;;;;;
H;;;;;;;1229;;;;;

Cycle 117 (9 min 40 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;;;;;26287;;;;;
B;;;;;;;47196;;;;;
C;;;;;;;100982;;;;;
D;;;;;;;62103;;;;;
E;;;;;;;25144;;;;;
F;;;;;;;10270;;;;;
G;;;;;;;1245;;;;;
H;;;;;;;1530;;;;;

Cycle 116 (9 min 35 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;;;;;25838;;;;;
B;;;;;;;48307;;;;;
C;;;;;;;100308;;;;;
D;;;;;;;61986;;;;;
E;;;;;;;25598;;;;;
F;;;;;;;10126;;;;;
G;;;;;;;500;;;;;
H;;;;;;;1095;;;;;

Cycle 115 (9 min 30 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;;;;;26501;;;;;
B;;;;;;;47280;;;;;
C;;;;;;;100203;;;;;
D;;;;;;;61580;;;;;
E;;;;;;;26373;;;;;
F;;;;;;;11075;;;;;
G;;;;;;;917;;;;;
H;;;;;;;1662;;;;;

Cycle 114 (9 min 25 s)
Blank corrected based on Raw Data (360-15/460-20)

;1;2;3;4;5;6;7;8;9;10;11;12;
A;;;;;;;25848;;;;;
B;;;;;;;47005;;;;;
C;;;;;;;99472;;;;;
D;;;;;;;61372;;;;;
E;;;;;;;25201;;;;;
F;;;;;;;9979;;;;;
G;;;;;;;697;;;;;
