Calpeptin_400uM_in_WT_24uM_28C_X,Calpeptin_400uM_in_WT_24uM_28C_Y
5.533333,9.70177
5.55,9.70115
5.566667,9.7008
5.583333,9.70098
5.6,9.70143
5.616667,9.70182
5.633333,9.70211
5.65,9.70227
5.666667,9.70254
5.683333,9.70292
5.7,9.70334
5.716667,9.70358
5.733333,9.70353
5.75,9.70318
5.766667,9.70274
5.783333,9.7024
5.8,9.70226
5.816667,9.70231
5.833333,9.70217
5.85,9.70248
5.866667,9.70312
5.883333,9.70351
5.9,9.70403
5.916667,9.70468
5.933333,9.70397
5.95,9.70222
5.966667,9.70119
5.983333,9.70101
6,9.7021
6.016667,9.70949
6.033333,9.71267
6.05,9.70012
6.066667,9.66979
6.083333,9.63129
6.1,9.58878
6.116667,9.5563
6.133333,9.53917
6.15,9.53
6.166667,9.52705
6.183333,9.5305
6.2,9.5396
6.216667,9.55267
6.233333,9.56851
6.25,9.59134
6.266667,9.61117
6.283333,9.62378
6.3,9.63048
6.316667,9.63575
6.333333,9.63999
6.35,9.64265
6.366667,9.64444
6.383333,9.64631
6.4,9.64722
6.416667,9.64832
6.433333,9.6502
6.45,9.65198
6.466667,9.65344
6.483333,9.655
6.5,9.65655
6.516667,9.65775
6.533333,9.6589
6.55,9.65967
6.566667,9.66029
6.583333,9.66128
6.6,9.66258
6.616667,9.66383
6.633333,9.66498
6.65,9.66539
6.666667,9.66574
6.683333,9.66665
6.7,9.66801
6.716667,9.6693
6.733333,9.67077
6.75,9.67241
6.766667,9.67352
6.783333,9.67438
6.8,9.67485
6.816667,9.6754
6.833333,9.67687
6.85,9.67744
6.866667,9.67826
6.883333,9.67887
6.9,9.67981
6.916667,9.68061
6.933333,9.68105
6.95,9.68143
6.966667,9.68202
6.983333,9.68279
7,9.68355
7.016667,9.68412
7.033333,9.68418
7.05,9.68391
7.066667,9.68388
7.083333,9.68416
7.1,9.68452
7.116667,9.68489
7.133333,9.68497
7.15,9.6851
7.166667,9.68548
7.183333,9.68577
7.2,9.68599
7.216667,9.68612
7.233333,9.6861
7.25,9.68618
7.266667,9.68638
7.283333,9.68673
7.3,9.68718
7.316667,9.6877
7.333333,9.68822
7.35,9.68873
7.366667,9.68911
7.383333,9.68937
7.4,9.68946
7.416667,9.68943
7.433333,9.68921
7.45,9.68883
7.466667,9.68875
7.483333,9.68882
7.5,9.68876
7.516667,9.68883
7.533333,9.68919
7.55,9.68981
7.566667,9.69054
7.583333,9.691
7.6,9.69112
7.616667,9.69081
7.633333,9.69014
7.65,9.68958
7.666667,9.6894
7.683333,9.68944
7.7,9.68931
7.716667,9.68995
7.733333,9.69074
7.75,9.6915
7.766667,9.69219
7.783333,9.69247
7.8,9.69283
7.816667,9.69293
7.833333,9.69177
7.85,9.69115
7.866667,9.69053
7.883333,9.69016
7.9,9.69045
7.916667,9.69064
7.933333,9.69105
7.95,9.69169
7.966667,9.69266
7.983333,9.69378
8,9.69482
8.016667,9.69516
8.033333,9.69476
8.05,9.69511
8.066667,9.69551
8.083333,9.6957
8.1,9.69617
8.116667,9.69666
8.133333,9.69721
8.15,9.69778
8.166667,9.69871
8.183333,9.69951
8.2,9.70021
8.216667,9.70048
8.233333,9.7003
8.25,9.69986
8.266667,9.69961
8.283333,9.69947
8.3,9.69928
8.316667,9.69878
8.333333,9.69786
8.35,9.69716
8.366667,9.69686
8.383333,9.6968
8.4,9.69604
8.416667,9.69537
8.433333,9.69408
8.45,9.69279
8.466667,9.69253
8.483333,9.69132
8.5,9.68966
8.516667,9.69266
8.533333,9.68929
8.55,9.67918
8.566667,9.66448
8.583333,9.63285
8.6,9.60289
8.616667,9.57893
8.633333,9.55978
8.65,9.54942
8.666667,9.5451
8.683333,9.54378
8.7,9.55143
8.716667,9.56955
8.733333,9.58615
8.75,9.60233
8.766667,9.61456
8.783333,9.62115
8.8,9.62566
8.816667,9.63023
8.833333,9.63506
8.85,9.63935
8.866667,9.64189
8.883333,9.6441
8.9,9.64655
8.916667,9.64907
8.933333,9.65172
8.95,9.6544
8.966667,9.65711
8.983333,9.65971
9,9.66207
9.016667,9.66408
9.033333,9.66584
9.05,9.66723
9.066667,9.66786
9.083333,9.66848
9.1,9.66904
9.116667,9.66976
9.133333,9.67113
9.15,9.67263
9.166667,9.67413
9.183333,9.67555
9.2,9.67687
9.216667,9.67769
9.233333,9.67819
9.25,9.67874
9.266667,9.67924
9.283333,9.67904
9.3,9.67915
9.316667,9.6801
9.333333,9.68104
9.35,9.68184
9.366667,9.6827
9.383333,9.68344
9.4,9.68414
9.416667,9.68502
9.433333,9.68613
9.45,9.68628
9.466667,9.68635
9.483333,9.68656
9.5,9.68662
9.516667,9.68653
9.533333,9.68642
9.55,9.68664
9.566667,9.68708
9.583333,9.68759
9.6,9.68812
9.616667,9.68856
9.633333,9.68887
9.65,9.68867
9.666667,9.68833
9.683333,9.68808
9.7,9.68786
9.716667,9.68788
9.733333,9.68854
9.75,9.68929
9.766667,9.68985
9.783333,9.69034
