Calpeptin_400uM_in_S256A_24uM_28C_X,Calpeptin_400uM_in_S256A_24uM_28C_Y
5.516667,9.34929
5.533333,9.34933
5.55,9.34939
5.566667,9.34971
5.583333,9.34959
5.6,9.34889
5.616667,9.34862
5.633333,9.34901
5.65,9.34914
5.666667,9.34938
5.683333,9.3497
5.7,9.34981
5.716667,9.34988
5.733333,9.34991
5.75,9.35008
5.766667,9.35048
5.783333,9.35078
5.8,9.35086
5.816667,9.35077
5.833333,9.35081
5.85,9.35087
5.866667,9.35078
5.883333,9.35063
5.9,9.35069
5.916667,9.35067
5.933333,9.35027
5.95,9.35035
5.966667,9.35111
5.983333,9.35092
6,9.35053
6.016667,9.35008
6.033333,9.35217
6.05,9.34044
6.066667,9.31971
6.083333,9.28864
6.1,9.25479
6.116667,9.23018
6.133333,9.21442
6.15,9.21021
6.166667,9.20769
6.183333,9.21072
6.2,9.21817
6.216667,9.22997
6.233333,9.23732
6.25,9.24441
6.266667,9.25449
6.283333,9.26574
6.3,9.2732
6.316667,9.28354
6.333333,9.29323
6.35,9.29883
6.366667,9.3005
6.383333,9.30228
6.4,9.30467
6.416667,9.30694
6.433333,9.30848
6.45,9.31
6.466667,9.31123
6.483333,9.3126
6.5,9.31401
6.516667,9.31525
6.533333,9.31637
6.55,9.3173
6.566667,9.31825
6.583333,9.31883
6.6,9.31964
6.616667,9.32023
6.633333,9.32088
6.65,9.32127
6.666667,9.32288
6.683333,9.33298
6.7,9.33905
6.716667,9.33931
6.733333,9.33764
6.75,9.33581
6.766667,9.33456
6.783333,9.33291
6.8,9.33116
6.816667,9.32997
6.833333,9.33373
6.85,9.34269
6.866667,9.34361
6.883333,9.34288
6.9,9.34262
6.916667,9.3427
6.933333,9.342
6.95,9.3414
6.966667,9.34173
6.983333,9.34217
7,9.34207
7.016667,9.34191
7.033333,9.34188
7.05,9.34192
7.066667,9.34212
7.083333,9.34257
7.1,9.34267
7.116667,9.34266
7.133333,9.34268
7.15,9.3428
7.166667,9.34343
7.183333,9.34379
7.2,9.3438
7.216667,9.34396
7.233333,9.34407
7.25,9.34416
7.266667,9.34417
7.283333,9.34415
7.3,9.34441
7.316667,9.3449
7.333333,9.34524
7.35,9.3455
7.366667,9.34589
7.383333,9.34642
7.4,9.34695
7.416667,9.34745
7.433333,9.34793
7.45,9.34837
7.466667,9.34865
7.483333,9.34888
7.5,9.34951
7.516667,9.34999
7.533333,9.3495
7.55,9.34913
7.566667,9.34895
7.583333,9.34886
7.6,9.34881
7.616667,9.34867
7.633333,9.34851
7.65,9.34824
7.666667,9.34817
7.683333,9.34828
7.7,9.34808
7.716667,9.34816
7.733333,9.34831
7.75,9.34838
7.766667,9.34813
7.783333,9.34798
7.8,9.34836
7.816667,9.34871
7.833333,9.34877
7.85,9.34891
7.866667,9.34903
7.883333,9.34935
7.9,9.34989
7.916667,9.35076
7.933333,9.35124
7.95,9.35179
7.966667,9.3524
7.983333,9.35321
8,9.35351
8.016667,9.35341
8.033333,9.35322
8.05,9.35378
8.066667,9.35519
8.083333,9.35619
8.1,9.35715
8.116667,9.35827
8.133333,9.35929
8.15,9.36007
8.166667,9.3609
8.183333,9.36168
8.2,9.36223
8.216667,9.36238
8.233333,9.36306
8.25,9.36402
8.266667,9.3644
8.283333,9.36443
8.3,9.3647
8.316667,9.36527
8.333333,9.3651
8.35,9.36447
8.366667,9.36651
8.383333,9.37014
8.4,9.36923
8.416667,9.36741
8.433333,9.36649
8.45,9.36608
8.466667,9.36403
8.483333,9.36249
8.5,9.3628
8.516667,9.36311
8.533333,9.36037
8.55,9.35103
8.566667,9.33499
8.583333,9.31135
8.6,9.28698
8.616667,9.26753
8.633333,9.25616
8.65,9.24899
8.666667,9.24494
8.683333,9.24163
8.7,9.24332
8.716667,9.24942
8.733333,9.25698
8.75,9.26595
8.766667,9.27918
8.783333,9.28973
8.8,9.29678
8.816667,9.3061
8.833333,9.31247
8.85,9.31929
8.866667,9.32547
8.883333,9.32737
8.9,9.32888
8.916667,9.33006
8.933333,9.33082
8.95,9.33187
8.966667,9.33317
8.983333,9.33442
9,9.33566
9.016667,9.33688
9.033333,9.33781
9.05,9.33854
9.066667,9.33935
9.083333,9.33998
9.1,9.34042
9.116667,9.34113
9.133333,9.34218
9.15,9.34303
9.166667,9.34392
9.183333,9.34488
9.2,9.34584
9.216667,9.3466
9.233333,9.34726
9.25,9.34776
9.266667,9.34835
9.283333,9.34866
9.3,9.34885
9.316667,9.34921
9.333333,9.34943
9.35,9.34962
9.366667,9.34997
9.383333,9.35035
9.4,9.3507
9.416667,9.35088
9.433333,9.35069
9.45,9.35041
9.466667,9.35021
9.483333,9.34981
9.5,9.34958
9.516667,9.34951
9.533333,9.35011
9.55,9.35013
9.566667,9.35034
9.583333,9.35094
9.6,9.3516
9.616667,9.35203
9.633333,9.35245
9.65,9.35293
9.666667,9.35365
9.683333,9.3545
9.7,9.35538
9.716667,9.35632
9.733333,9.35685
9.75,9.35741
9.766667,9.35826
9.783333,9.35872
9.8,9.35935
9.816667,9.35982
9.833333,9.35979
9.85,9.36011
9.866667,9.36082
9.883333,9.3615
9.9,9.36167
9.916667,9.36141
9.933333,9.36141
9.95,9.36134
9.966667,9.36133
9.983333,9.3611
10,9.36092
10.016667,9.36107
10.033333,9.36138
10.05,9.36181
10.066667,9.36248
10.083333,9.36304
10.1,9.36313
10.116667,9.36329
10.133333,9.36378
10.15,9.36425
10.166667,9.36512
10.183333,9.36583
10.2,9.36554
10.216667,9.3647
10.233333,9.36465
10.25,9.36515
10.266667,9.36581
10.283333,9.36549
10.3,9.36484
10.316667,9.36405
10.333333,9.36341
10.35,9.36306
10.366667,9.36315
10.383333,9.36375
10.4,9.36452
10.416667,9.36454
10.433333,9.36465
10.45,9.36483
10.466667,9.36488
10.483333,9.36549
10.5,9.36641
10.516667,9.36683
10.533333,9.36738
10.55,9.36841
10.566667,9.36957
10.583333,9.37061
10.6,9.37093
10.616667,9.37003
10.633333,9.36902
10.65,9.37033
10.666667,9.37672
10.683333,9.3825
10.7,9.3824
10.716667,9.38056
10.733333,9.37797
10.75,9.37578
10.766667,9.37301
10.783333,9.37219
10.8,9.37223
10.816667,9.37092
10.833333,9.36938
10.85,9.36786
10.866667,9.3677
10.883333,9.36745
10.9,9.36744
10.916667,9.36821
10.933333,9.36857
10.95,9.36773
10.966667,9.36864
10.983333,9.37116
11,9.3735
11.016667,9.37722
11.033333,9.37691
11.05,9.36802
11.066667,9.35095
11.083333,9.32992
11.1,9.31234
11.116667,9.30662
11.133333,9.30569
11.15,9.30288
11.166667,9.29846
11.183333,9.29502
11.2,9.28832
11.216667,9.28445
11.233333,9.28535
11.25,9.29491
11.266667,9.30779
11.283333,9.31617
11.3,9.3224
11.316667,9.32982
11.333333,9.33809
11.35,9.34619
11.366667,9.34709
11.383333,9.34803
11.4,9.34817
11.416667,9.34882
11.433333,9.35008
11.45,9.35125
11.466667,9.35224
11.483333,9.35298
11.5,9.35394
11.516667,9.35533
11.533333,9.35676
11.55,9.35779
11.566667,9.35862
11.583333,9.35961
11.6,9.36103
11.616667,9.36223
11.633333,9.36307
11.65,9.3636
11.666667,9.36371
11.683333,9.36387
11.7,9.3643
11.716667,9.36483
11.733333,9.36556
11.75,9.36626
11.766667,9.36693
11.783333,9.36739
11.8,9.36786
11.816667,9.36814
11.833333,9.36816
11.85,9.3681
11.866667,9.3681
11.883333,9.36783
