3.310, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow, overflow, 3.148,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.131, 3.031, 3.116, 3.317,     -,     -,     -,     -,     -,     -,     -,     -
2.936, 2.752, 2.897, 3.470,     -,     -,     -,     -,     -,     -,     -,     -
2.921, 2.813, 3.221, 2.296,     -,     -,     -,     -,     -,     -,     -,     -
2.721, 2.732, 2.980, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.988, 2.821, overflow, 3.253,     -,     -,     -,     -,     -,     -,     -,     -

3.359, overflow, 3.469, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow, 3.451, 3.245,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.316, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.079, 2.827, 2.862, 3.079,     -,     -,     -,     -,     -,     -,     -,     -
2.767, 2.520, 2.943, 3.248,     -,     -,     -,     -,     -,     -,     -,     -
2.573, 2.350, 2.809, 2.199,     -,     -,     -,     -,     -,     -,     -,     -
2.454, 2.444, 2.627, 3.284,     -,     -,     -,     -,     -,     -,     -,     -
2.526, 2.678, 2.850, 2.901,     -,     -,     -,     -,     -,     -,     -,     -

3.221, 3.149, 3.116, 3.104,     -,     -,     -,     -,     -,     -,     -,     -
3.124, 3.144, 3.333, 2.880,     -,     -,     -,     -,     -,     -,     -,     -
3.055, 2.892, 3.285, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.652, 2.334, 2.589, 2.573,     -,     -,     -,     -,     -,     -,     -,     -
2.438, 2.117, 2.323, 2.604,     -,     -,     -,     -,     -,     -,     -,     -
2.253, 2.093, 2.252, 1.937,     -,     -,     -,     -,     -,     -,     -,     -
2.125, 2.070, 2.254, 2.761,     -,     -,     -,     -,     -,     -,     -,     -
2.149, 2.204, 2.313, 2.536,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.383, 3.155, overflow, 2.905,     -,     -,     -,     -,     -,     -,     -,     -
2.987, 2.770, 2.921, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.519, 2.185, 2.379, 2.623,     -,     -,     -,     -,     -,     -,     -,     -
2.220, 1.913, 2.139, 2.422,     -,     -,     -,     -,     -,     -,     -,     -
2.037, 1.927, 2.063, 1.745,     -,     -,     -,     -,     -,     -,     -,     -
1.929, 1.871, 2.079, 2.577,     -,     -,     -,     -,     -,     -,     -,     -
1.961, 1.969, 2.173, 2.382,     -,     -,     -,     -,     -,     -,     -,     -

overflow, 3.435, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.216, overflow, 2.734,     -,     -,     -,     -,     -,     -,     -,     -
2.833, 2.504, 2.696, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.288, 1.991, 2.208, 2.420,     -,     -,     -,     -,     -,     -,     -,     -
2.016, 1.749, 1.974, 2.200,     -,     -,     -,     -,     -,     -,     -,     -
1.840, 1.752, 1.881, 1.589,     -,     -,     -,     -,     -,     -,     -,     -
1.748, 1.693, 1.902, 2.354,     -,     -,     -,     -,     -,     -,     -,     -
1.772, 1.790, 2.011, 2.186,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.186, overflow, 2.674,     -,     -,     -,     -,     -,     -,     -,     -
2.710, 2.360, 2.587, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.194, 1.882, 2.127, 2.268,     -,     -,     -,     -,     -,     -,     -,     -
