overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.076, 2.983, overflow, 3.116,     -,     -,     -,     -,     -,     -,     -,     -
3.241, 3.468, 2.980, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 2.671, 3.039, 2.870,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 2.488, 2.822, 3.195,     -,     -,     -,     -,     -,     -,     -,     -
3.215, 2.544, 2.760, 2.196,     -,     -,     -,     -,     -,     -,     -,     -
2.320, 2.617, 2.897, 3.259,     -,     -,     -,     -,     -,     -,     -,     -
2.526, 2.536, 2.670, 3.020,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.305, 3.443, 3.427,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 2.934, 3.413, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 2.424, 2.776, 2.845,     -,     -,     -,     -,     -,     -,     -,     -
2.874, 2.246, 2.565, 2.669,     -,     -,     -,     -,     -,     -,     -,     -
2.545, 2.250, 2.563, 1.976,     -,     -,     -,     -,     -,     -,     -,     -
2.375, 2.265, 2.468, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.329, 2.421, 2.436, 2.813,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow, overflow, 3.268,     -,     -,     -,     -,     -,     -,     -,     -
3.484, 2.775, 3.378, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.981, 2.228, 2.572, 2.706,     -,     -,     -,     -,     -,     -,     -,     -
2.518, 2.045, 2.266, 2.360,     -,     -,     -,     -,     -,     -,     -,     -
2.224, 2.048, 2.223, 1.785,     -,     -,     -,     -,     -,     -,     -,     -
2.109, 1.975, 2.182, 2.761,     -,     -,     -,     -,     -,     -,     -,     -
2.123, 2.103, 2.210, 2.444,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow, overflow, 2.652,     -,     -,     -,     -,     -,     -,     -,     -
2.942, 2.484, 2.599, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.463, 2.032, 2.189, 2.305,     -,     -,     -,     -,     -,     -,     -,     -
2.118, 1.780, 1.945, 2.120,     -,     -,     -,     -,     -,     -,     -,     -
1.936, 1.808, 1.862, 1.545,     -,     -,     -,     -,     -,     -,     -,     -
1.855, 1.732, 1.841, 2.320,     -,     -,     -,     -,     -,     -,     -,     -
1.873, 1.810, 1.921, 2.070,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.461, 3.256, 3.407, 2.500,     -,     -,     -,     -,     -,     -,     -,     -
2.798, 2.300, 2.446, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.230, 1.857, 1.998, 2.103,     -,     -,     -,     -,     -,     -,     -,     -
1.964, 1.627, 1.764, 1.945,     -,     -,     -,     -,     -,     -,     -,     -
1.776, 1.637, 1.711, 1.404,     -,     -,     -,     -,     -,     -,     -,     -
1.676, 1.569, 1.670, 2.153,     -,     -,     -,     -,     -,     -,     -,     -
1.693, 1.642, 1.758, 1.898,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 2.926, 3.271, 2.369,     -,     -,     -,     -,     -,     -,     -,     -
2.568, 2.169, 2.295, overflow,     -,     -,     -,     -,     -,     -,     -,     -
2.100, 1.739, 1.886, 1.982,     -,     -,     -,     -,     -,     -,     -,     -
1.838, 1.529, 1.663, 1.832,     -,     -,     -,     -,     -,     -,     -,     -
1.663, 1.534, 1.601, 1.320,     -,     -,     -,     -,     -,     -,     -,     -
1.571, 1.470, 1.572, 2.034,     -,     -,     -,     -,     -,     -,     -,     -
1.591, 1.549, 1.656, 1.790,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 2.781, 3.026, 2.249,     -,     -,     -,     -,     -,     -,     -,     -
2.484, 2.074, 2.209, 3.217,     -,     -,     -,     -,     -,     -,     -,     -
1.999, 1.652, 1.796, 1.881,     -,     -,     -,     -,     -,     -,     -,     -
1.746, 1.451, 1.578, 1.745,     -,     -,     -,     -,     -,     -,     -,     -
1.583, 1.458, 1.528, 1.256,     -,     -,     -,     -,     -,     -,     -,     -
1.492, 1.396, 1.501, 1.940,     -,     -,     -,     -,     -,     -,     -,     -
1.511, 1.471, 1.574, 1.699,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 2.678, 2.868, 2.162,     -,     -,     -,     -,     -,     -,     -,     -
2.406, 1.986, 2.122, 3.096,     -,     -,     -,     -,     -,     -,     -,     -
1.922, 1.587, 1.722, 1.814,     -,     -,     -,     -,     -,     -,     -,     -
1.672, 1.385, 1.510, 1.682,     -,     -,     -,     -,     -,     -,     -,     -
1.517, 1.394, 1.462, 1.205,     -,     -,     -,     -,     -,     -,     -,     -
1.427, 1.330, 1.436, 1.857,     -,     -,     -,     -,     -,     -,     -,     -
1.440, 1.402, 1.506, 1.627,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.404, 2.624, 2.790, 2.072,     -,     -,     -,     -,     -,     -,     -,     -
2.319, 1.903, 2.034, 2.933,     -,     -,     -,     -,     -,     -,     -,     -
1.855, 1.517, 1.649, 1.737,     -,     -,     -,     -,     -,     -,     -,     -
1.607, 1.320, 1.444, 1.604,     -,     -,     -,     -,     -,     -,     -,     -
1.446, 1.329, 1.393, 1.151,     -,     -,     -,     -,     -,     -,     -,     -
1.363, 1.270, 1.371, 1.778,     -,     -,     -,     -,     -,     -,     -,     -
1.370, 1.337, 1.435, 1.557,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.352, 2.548, 2.783, 2.029,     -,     -,     -,     -,     -,     -,     -,     -
2.280, 1.852, 1.986, 2.888,     -,     -,     -,     -,     -,     -,     -,     -
1.814, 1.479, 1.605, 1.690,     -,     -,     -,     -,     -,     -,     -,     -
1.569, 1.285, 1.405, 1.569,     -,     -,     -,     -,     -,     -,     -,     -
1.407, 1.291, 1.357, 1.123,     -,     -,     -,     -,     -,     -,     -,     -
1.324, 1.236, 1.333, 1.734,     -,     -,     -,     -,     -,     -,     -,     -
1.332, 1.302, 1.399, 1.516,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.312, 2.503, 2.708, 2.011,     -,     -,     -,     -,     -,     -,     -,     -
2.268, 1.837, 1.971, 2.830,     -,     -,     -,     -,     -,     -,     -,     -
1.806, 1.465, 1.594, 1.679,     -,     -,     -,     -,     -,     -,     -,     -
1.558, 1.273, 1.393, 1.554,     -,     -,     -,     -,     -,     -,     -,     -
1.398, 1.280, 1.345, 1.115,     -,     -,     -,     -,     -,     -,     -,     -
1.312, 1.226, 1.319, 1.717,     -,     -,     -,     -,     -,     -,     -,     -
1.320, 1.288, 1.387, 1.508,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.262, 2.484, 2.669, 2.025,     -,     -,     -,     -,     -,     -,     -,     -
2.291, 1.843, 1.979, 2.847,     -,     -,     -,     -,     -,     -,     -,     -
1.821, 1.472, 1.601, 1.692,     -,     -,     -,     -,     -,     -,     -,     -
1.572, 1.282, 1.402, 1.563,     -,     -,     -,     -,     -,     -,     -,     -
1.409, 1.288, 1.353, 1.125,     -,     -,     -,     -,     -,     -,     -,     -
1.320, 1.234, 1.331, 1.725,     -,     -,     -,     -,     -,     -,     -,     -
1.329, 1.297, 1.393, 1.522,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.365, 2.523, 2.715, 2.061,     -,     -,     -,     -,     -,     -,     -,     -
2.343, 1.877, 2.011, 2.916,     -,     -,     -,     -,     -,     -,     -,     -
1.860, 1.498, 1.633, 1.724,     -,     -,     -,     -,     -,     -,     -,     -
1.605, 1.305, 1.427, 1.593,     -,     -,     -,     -,     -,     -,     -,     -
1.436, 1.313, 1.379, 1.148,     -,     -,     -,     -,     -,     -,     -,     -
1.344, 1.255, 1.354, 1.755,     -,     -,     -,     -,     -,     -,     -,     -
1.355, 1.321, 1.419, 1.552,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.475, 2.591, 2.791, 2.104,     -,     -,     -,     -,     -,     -,     -,     -
2.405, 1.921, 2.054, 2.963,     -,     -,     -,     -,     -,     -,     -,     -
1.910, 1.534, 1.667, 1.766,     -,     -,     -,     -,     -,     -,     -,     -
1.643, 1.335, 1.462, 1.630,     -,     -,     -,     -,     -,     -,     -,     -
1.470, 1.344, 1.409, 1.177,     -,     -,     -,     -,     -,     -,     -,     -
1.378, 1.284, 1.386, 1.798,     -,     -,     -,     -,     -,     -,     -,     -
1.390, 1.352, 1.453, 1.586,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.429, 2.631, 2.808, 2.151,     -,     -,     -,     -,     -,     -,     -,     -
2.445, 1.960, 2.092, 2.997,     -,     -,     -,     -,     -,     -,     -,     -
1.956, 1.571, 1.705, 1.807,     -,     -,     -,     -,     -,     -,     -,     -
1.687, 1.367, 1.496, 1.671,     -,     -,     -,     -,     -,     -,     -,     -
1.509, 1.378, 1.444, 1.207,     -,     -,     -,     -,     -,     -,     -,     -
1.413, 1.316, 1.421, 1.837,     -,     -,     -,     -,     -,     -,     -,     -
1.428, 1.387, 1.490, 1.627,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.464, 2.704, 2.888, 2.211,     -,     -,     -,     -,     -,     -,     -,     -
2.538, 2.017, 2.149, 3.007,     -,     -,     -,     -,     -,     -,     -,     -
2.016, 1.615, 1.754, 1.861,     -,     -,     -,     -,     -,     -,     -,     -
1.736, 1.408, 1.541, 1.721,     -,     -,     -,     -,     -,     -,     -,     -
1.554, 1.417, 1.486, 1.242,     -,     -,     -,     -,     -,     -,     -,     -
1.458, 1.354, 1.461, 1.891,     -,     -,     -,     -,     -,     -,     -,     -
1.469, 1.432, 1.534, 1.675,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 2.767, 3.114, 2.302,     -,     -,     -,     -,     -,     -,     -,     -
2.642, 2.088, 2.226, 3.213,     -,     -,     -,     -,     -,     -,     -,     -
2.086, 1.672, 1.818, 1.918,     -,     -,     -,     -,     -,     -,     -,     -
1.805, 1.459, 1.594, 1.782,     -,     -,     -,     -,     -,     -,     -,     -
1.614, 1.470, 1.540, 1.285,     -,     -,     -,     -,     -,     -,     -,     -
1.510, 1.406, 1.516, 1.963,     -,     -,     -,     -,     -,     -,     -,     -
1.525, 1.484, 1.587, 1.735,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 2.861, 3.159, 2.361,     -,     -,     -,     -,     -,     -,     -,     -
