overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.402, 1.929,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.931, 1.517,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.670, 1.319,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.500, 1.275,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.406, 1.282,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.415, 1.375,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
3.378, 2.678,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.418, 1.926,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.938, 1.517,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.677, 1.317,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.502, 1.271,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.405, 1.279,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.416, 1.376,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
3.306, 2.712,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.455, 1.943,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.964, 1.536,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.699, 1.329,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.521, 1.285,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.423, 1.290,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.434, 1.390,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 2.735,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.513, 1.976,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.003, 1.560,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.735, 1.351,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.548, 1.306,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.448, 1.313,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.459, 1.414,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 2.822,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.571, 2.021,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.057, 1.595,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.774, 1.380,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.583, 1.334,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.483, 1.341,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.492, 1.444,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 2.897,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.639, 2.070,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.103, 1.630,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.817, 1.414,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.622, 1.367,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.516, 1.373,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.530, 1.476,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
3.468, 2.947,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.716, 2.124,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.168, 1.678,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.875, 1.457,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.670, 1.407,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.564, 1.415,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.580, 1.523,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
3.430, 2.996,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.709, 2.188,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.223, 1.730,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.931, 1.504,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.720, 1.454,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.615, 1.465,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.632, 1.575,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
3.413, 3.075,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.787, 2.244,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.278, 1.782,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.983, 1.550,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.776, 1.503,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.668, 1.515,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.684, 1.626,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.141,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.871, 2.329,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.347, 1.842,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.046, 1.609,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.828, 1.555,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.725, 1.567,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.744, 1.686,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.319,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.912, 2.383,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.377, 1.883,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.082, 1.644,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.871, 1.591,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.766, 1.605,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.786, 1.729,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
overflow, 3.291,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.949, 2.412,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.408, 1.915,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
2.105, 1.668,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.898, 1.616,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
1.790, 1.633,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
