1.842, 1.512, 1.670, 1.756,     -,     -,     -,     -,     -,     -,     -,     -
1.592, 1.324, 1.462, 1.626,     -,     -,     -,     -,     -,     -,     -,     -
1.433, 1.326, 1.409, 1.173,     -,     -,     -,     -,     -,     -,     -,     -
1.346, 1.266, 1.395, 1.781,     -,     -,     -,     -,     -,     -,     -,     -
1.356, 1.336, 1.454, 1.579,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.196, 2.533, 2.697, 2.079,     -,     -,     -,     -,     -,     -,     -,     -
2.264, 1.898, 1.997, 2.957,     -,     -,     -,     -,     -,     -,     -,     -
1.828, 1.496, 1.653, 1.739,     -,     -,     -,     -,     -,     -,     -,     -
1.577, 1.309, 1.446, 1.611,     -,     -,     -,     -,     -,     -,     -,     -
1.417, 1.313, 1.393, 1.164,     -,     -,     -,     -,     -,     -,     -,     -
1.329, 1.252, 1.381, 1.765,     -,     -,     -,     -,     -,     -,     -,     -
1.343, 1.322, 1.435, 1.562,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.201, 2.582, 2.766, 2.097,     -,     -,     -,     -,     -,     -,     -,     -
2.307, 1.912, 2.008, 2.942,     -,     -,     -,     -,     -,     -,     -,     -
1.848, 1.505, 1.663, 1.752,     -,     -,     -,     -,     -,     -,     -,     -
1.594, 1.316, 1.456, 1.619,     -,     -,     -,     -,     -,     -,     -,     -
1.429, 1.319, 1.402, 1.171,     -,     -,     -,     -,     -,     -,     -,     -
1.337, 1.259, 1.392, 1.779,     -,     -,     -,     -,     -,     -,     -,     -
1.353, 1.328, 1.443, 1.574,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.186, 2.577, 2.813, 2.124,     -,     -,     -,     -,     -,     -,     -,     -
2.357, 1.940, 2.038, 2.991,     -,     -,     -,     -,     -,     -,     -,     -
1.876, 1.531, 1.687, 1.776,     -,     -,     -,     -,     -,     -,     -,     -
1.621, 1.337, 1.478, 1.647,     -,     -,     -,     -,     -,     -,     -,     -
1.451, 1.339, 1.423, 1.193,     -,     -,     -,     -,     -,     -,     -,     -
1.359, 1.279, 1.411, 1.804,     -,     -,     -,     -,     -,     -,     -,     -
1.374, 1.350, 1.466, 1.598,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.212, 2.641, 2.892, 2.165,     -,     -,     -,     -,     -,     -,     -,     -
2.399, 1.979, 2.078, 3.045,     -,     -,     -,     -,     -,     -,     -,     -
1.922, 1.564, 1.719, 1.812,     -,     -,     -,     -,     -,     -,     -,     -
1.656, 1.366, 1.508, 1.682,     -,     -,     -,     -,     -,     -,     -,     -
1.484, 1.370, 1.454, 1.218,     -,     -,     -,     -,     -,     -,     -,     -
1.388, 1.306, 1.439, 1.838,     -,     -,     -,     -,     -,     -,     -,     -
1.404, 1.380, 1.498, 1.634,     -,     -,     -,     -,     -,     -,     -,     -

overflow, overflow, overflow, overflow,     -,     -,     -,     -,     -,     -,     -,     -
3.378, 2.721, 2.960, 2.227,     -,     -,     -,     -,     -,     -,     -,     -
2.477, 2.024, 2.130, 3.167,     -,     -,     -,     -,     -,     -,     -,     -
1.977, 1.604, 1.762, 1.859,     -,     -,     -,     -,     -,     -,     -,     -
1.700, 1.402, 1.546, 1.725,     -,     -,     -,     -,     -,     -,     -,     -
1.526, 1.403, 1.489, 1.251,     -,     -,     -,     -,     -,     -,     -,     -
1.427, 1.340, 1.478, 1.886,     -,     -,     -,     -,     -,     -,     -,     -
