Chrom.1		
UV		
ml	mAU	
0.374	0.04026867	
0.375	0.03924423	
0.377	0.0386472	
0.378	0.03822204	
0.379	0.03885069	
0.381	0.0387315	
0.382	0.03847551	
0.383	0.03764495	
0.385	0.03651766	
0.386	0.03617194	
0.387	0.03580458	
0.389	0.0349325	
0.39	0.03385575	
0.391	0.0331996	
0.393	0.03324213	
0.394	0.03338733	
0.395	0.03343702	
0.397	0.03293192	
0.398	0.03188352	
0.399	0.0316213	
0.401	0.03189327	
0.402	0.03276242	
0.403	0.03359123	
0.405	0.03326664	
0.406	0.03266036	
0.407	0.03334747	
0.409	0.03382191	
0.41	0.0337456	
0.411	0.03326727	
0.413	0.03338305	
0.414	0.0325346	
0.415	0.03184232	
0.417	0.03108901	
0.418	0.03118947	
0.419	0.03070838	
0.421	0.03082177	
0.422	0.03067295	
0.423	0.03101974	
0.425	0.03225975	
0.426	0.03249641	
0.427	0.03349525	
0.429	0.03312043	
0.43	0.03266077	
0.431	0.03326086	
0.433	0.03347231	
0.434	0.03351077	
0.435	0.03277483	
0.437	0.03205372	
0.438	0.03148843	
0.439	0.03118909	
0.441	0.03188065	
0.442	0.03309756	
0.443	0.0338595	
0.445	0.03399302	
0.446	0.03382082	
0.447	0.03362963	
0.449	0.03393932	
0.45	0.03423861	
0.451	0.03455289	
0.453	0.03415933	
0.454	0.033423	
0.455	0.03361281	
0.457	0.03460713	
0.458	0.03416023	
0.459	0.03292935	
0.461	0.03181614	
0.462	0.03103539	
0.463	0.03115253	
0.465	0.03182372	
0.466	0.03186581	
0.467	0.03068652	
0.469	0.02981641	
0.47	0.02836742	
0.471	0.02764006	
0.473	0.02712787	
0.474	0.02743332	
0.475	0.02684342	
0.477	0.02664084	
0.478	0.02653029	
0.479	0.02571958	
0.481	0.02586163	
0.482	0.0260218	
0.483	0.0264282	
0.485	0.0264163	
0.486	0.02593662	
0.487	0.02683957	
0.489	0.02678894	
0.49	0.02697821	
0.491	0.02648288	
0.493	0.02565296	
0.494	0.02392996	
0.495	0.0244523	
0.497	0.02426741	
0.498	0.02390876	
0.499	0.02294674	
0.5	0.02219119	
0.502	0.02216682	
0.503	0.02251172	
0.504	0.02228441	
0.506	0.02320466	
0.507	0.02237061	
0.508	0.02190872	
0.51	0.02132684	
0.511	0.02098287	
0.512	0.02037152	
0.514	0.01977863	
0.515	0.01921374	
0.516	0.01881522	
0.518	0.0182949	
0.519	0.01882809	
0.52	0.01866081	
0.522	0.0185882	
0.523	0.01838714	
0.524	0.01802181	
0.526	0.018511	
0.527	0.01878135	
0.528	0.01981875	
0.53	0.01869667	
0.531	0.0182045	
0.532	0.01778301	
0.534	0.01750122	
0.535	0.01791149	
0.536	0.01837537	
0.538	0.01809292	
0.539	0.01813935	
0.54	0.01746423	
0.542	0.01688753	
0.543	0.01592208	
0.544	0.01573384	
0.546	0.01580216	
0.547	0.01482444	
0.548	0.01451629	
0.55	0.01391582	
0.551	0.01293627	
0.552	0.01350806	
0.554	0.01270175	
0.555	0.01168433	
0.556	0.01041315	
0.558	0.01041488	
0.559	0.0108028	
0.56	0.01072611	
0.562	0.01082481	
0.563	0.01140198	
0.564	0.01022797	
0.566	0.009718221	
0.567	0.009832727	
0.568	0.009688359	
0.57	0.009653755	
0.571	0.009912843	
0.572	0.00798614	
0.574	0.008754312	
0.575	0.008728366	
0.576	0.007825045	
0.578	0.008063297	
0.579	0.007848631	
0.58	0.008248921	
0.582	0.009119297	
0.583	0.009590371	
0.584	0.009611249	
0.586	0.009182665	
0.587	0.008986429	
0.588	0.008613518	
0.59	0.008095419	
0.591	0.008630528	
0.592	0.008289607	
0.594	0.007815816	
0.595	0.006380818	
0.596	0.006316498	
0.598	0.006589716	
0.599	0.006809411	
0.6	0.006767449	
0.602	0.005944438	
0.603	0.004803362	
0.604	0.005301318	
0.606	0.005888384	
0.607	0.005592068	
0.608	0.005591075	
0.61	0.006101634	
0.611	0.00688683	
0.612	0.00707471	
0.614	0.007861342	
0.615	0.007776446	
0.616	0.007645611	
0.618	0.008266814	
0.619	0.008002641	
0.62	0.007269999	
0.622	0.007518593	
0.623	0.007989678	
0.624	0.008147135	
0.626	0.007358195	
0.627	0.007820521	
0.628	0.007858282	
0.63	0.007897558	
0.631	0.008160703	
0.632	0.009139983	
0.634	0.009094479	
0.635	0.009801906	
0.636	0.009517488	
0.638	0.009348285	
0.639	0.0103866	
0.64	0.0102236	
0.641	0.009923067	
0.643	0.01058992	
0.644	0.0108518	
0.645	0.01059158	
0.647	0.01017659	
0.648	0.008684224	
0.649	0.007361178	
0.651	0.007619791	
0.652	0.007617129	
0.653	0.007602897	
0.655	0.007935745	
0.656	0.008001414	
0.657	0.007228307	
0.659	0.006275199	
0.66	0.006329481	
0.661	0.007116318	
0.663	0.007860753	
0.664	0.007939665	
0.665	0.007316004	
0.667	0.00752198	
0.668	0.00824215	
0.669	0.009176739	
0.671	0.008600494	
0.672	0.008112071	
0.673	0.009061389	
0.675	0.009030314	
0.676	0.008886219	
0.677	0.008689847	
0.679	0.008201186	
0.68	0.007415591	
0.681	0.007440257	
0.683	0.00750646	
0.684	0.007298691	
0.685	0.007215129	
0.687	0.007840397	
0.688	0.007647665	
0.689	0.007833419	
0.691	0.007262719	
0.692	0.006738002	
0.693	0.006339462	
0.695	0.00562864	
0.696	0.005298286	
0.697	0.005874963	
0.699	0.005748654	
0.7	0.00563489	
0.701	0.005235105	
0.703	0.005612561	
0.704	0.006061694	
0.705	0.005823023	
0.707	0.005701957	
0.708	0.00569804	
0.709	0.00492686	
0.711	0.003985891	
0.712	0.003667827	
0.713	0.003558783	
0.715	0.003769513	
0.716	0.003602485	
0.717	0.002897072	
0.719	0.002518201	
0.72	0.003168845	
0.721	0.003766953	
0.723	0.004777302	
0.724	0.005504937	
0.725	0.006186692	
0.727	0.006685304	
0.728	0.006575706	
0.729	0.005738075	
0.731	0.00510438	
0.732	0.005045464	
0.733	0.004763393	
0.735	0.004406396	
0.736	0.00449453	
0.737	0.004565555	
0.739	0.004274272	
0.74	0.002724027	
0.741	0.002381778	
0.743	0.002963156	
0.744	0.003090098	
0.745	0.00304766	
0.747	0.003257032	
0.748	0.003568014	
0.749	0.003554213	
0.751	0.003553331	
0.752	0.003529374	
0.753	0.002659358	
0.755	0.002340445	
0.756	0.002305086	
0.757	0.001662017	
0.759	0.001824312	
0.76	0.002642459	
0.761	0.002925598	
0.763	0.002911633	
0.764	0.003305227	
0.765	0.003547373	
0.767	0.003301815	
0.768	0.003643707	
0.769	0.004284137	
0.771	0.00439871	
0.772	0.004182559	
0.773	0.004159742	
0.775	0.004023469	
0.776	0.004391355	
0.777	0.00531365	
0.779	0.006400872	
0.78	0.006808894	
0.781	0.00679201	
0.782	0.007429346	
0.784	0.008159803	
0.785	0.007987611	
0.786	0.006914074	
0.788	0.006042105	
0.789	0.005590887	
0.79	0.00513148	
0.792	0.004861773	
0.793	0.004328686	
0.794	0.004166008	
0.796	0.004431847	
0.797	0.004682415	
0.798	0.004964692	
0.8	0.005273696	
0.801	0.005612469	
0.802	0.005675689	
0.804	0.005562309	
0.805	0.005374126	
0.806	0.005148341	
0.808	0.005224747	
0.809	0.004705504	
0.81	0.004067134	
0.812	0.003837274	
0.813	0.00375395	
0.814	0.003382227	
0.816	0.003203579	
0.817	0.003522395	
0.818	0.003815172	
0.82	0.004594437	
0.821	0.004949888	
0.822	0.004621004	
0.824	0.005285786	
0.825	0.00619984	
0.826	0.006043393	
0.828	0.005854429	
0.829	0.005716747	
0.83	0.004942311	
0.832	0.004346392	
0.833	0.00439284	
0.834	0.003993915	
0.836	0.002678172	
0.837	0.002193285	
0.838	0.002417746	
0.84	0.002268411	
0.841	0.002288487	
0.842	0.0024271	
0.844	0.002610439	
0.845	0.002140459	
0.846	0.001711127	
0.848	0.001942294	
0.849	0.002075115	
0.85	0.002144571	
0.852	0.002670315	
0.853	0.003670283	
0.854	0.004074184	
0.856	0.004131528	
0.857	0.004137814	
0.858	0.004992567	
0.86	0.005681193	
0.861	0.006179839	
0.862	0.005914992	
0.864	0.005840717	
0.865	0.005427195	
0.866	0.005416511	
0.868	0.005520274	
0.869	0.005771265	
0.87	0.006219266	
0.872	0.006495707	
0.873	0.007186601	
0.874	0.007618845	
0.876	0.007604024	
0.877	0.008218278	
0.878	0.008992728	
0.88	0.009598332	
0.881	0.01004278	
0.882	0.01047705	
0.884	0.009842986	
0.885	0.008792534	
0.886	0.008189726	
0.888	0.007880399	
0.889	0.007929081	
0.89	0.007470916	
0.892	0.007172286	
0.893	0.007780709	
0.894	0.008341832	
0.896	0.00870391	
0.897	0.008809696	
0.898	0.008845051	
0.9	0.008631108	
0.901	0.008881151	
0.902	0.009565355	
0.904	0.009430258	
0.905	0.009090436	
0.906	0.008964784	
0.908	0.008593746	
0.909	0.008156016	
0.91	0.007803326	
0.912	0.007607017	
0.913	0.00828553	
0.914	0.008203156	
0.916	0.008388168	
0.917	0.00809124	
0.918	0.007690832	
0.92	0.007259623	
0.921	0.006897777	
0.922	0.006707055	
0.923	0.00623619	
0.925	0.00539788	
0.926	0.005312065	
0.927	0.005347773	
0.929	0.005734029	
0.93	0.005442497	
0.931	0.005339273	
0.933	0.005528937	
0.934	0.005638091	
0.935	0.00564616	
0.937	0.005593663	
0.938	0.006066351	
0.939	0.006822565	
0.941	0.00691451	
0.942	0.007653283	
0.943	0.007313341	
0.945	0.00656077	
0.946	0.005787139	
0.947	0.005163326	
0.949	0.004876315	
0.95	0.005238435	
0.951	0.005944488	
0.953	0.005871056	
0.954	0.005676798	
0.955	0.005466266	
0.957	0.005390246	
0.958	0.00489441	
