Chrom.1		
UV		
ml	mAU	
4.31	-0.002006715	
4.312	-0.001909356	
4.313	-0.001573453	
4.314	-0.0006508758	
4.316	-0.0006898994	
4.317	-0.001401364	
4.318	-0.001040907	
4.32	0.0005549449	
4.321	0.0009666699	
4.322	0.0001674654	
4.324	0.0001115936	
4.325	0.0005571294	
4.326	0.001402443	
4.328	0.001932695	
4.329	0.001549098	
4.33	0.001252543	
4.331	0.001668025	
4.333	0.00181305	
4.334	0.001677203	
4.335	0.002218819	
4.337	0.002574879	
4.338	0.002369077	
4.339	0.002133784	
4.341	0.002452973	
4.342	0.002619629	
4.343	0.002063707	
4.345	0.001121702	
4.346	0.00096704	
4.347	0.0003488155	
4.349	-0.0005306714	
4.35	-0.0006832177	
4.351	-0.0001830501	
4.353	0.000224925	
4.354	-0.0002558068	
4.355	-0.0003391694	
4.357	-6.478149E-05	
4.358	-0.0001629828	
4.359	-0.0002061867	
4.361	-7.41857E-06	
4.362	0.0002502912	
4.363	0.000803535	
4.365	0.0009933317	
4.366	0.0008544498	
4.367	0.0008070928	
4.369	0.001061139	
4.37	0.001326158	
4.371	0.001406597	
4.373	0.0009325232	
4.374	0.0003199958	
4.375	-0.0002234359	
4.377	-0.0006413887	
4.378	-0.000182781	
4.379	-0.0002462371	
4.381	-0.001024348	
4.382	-0.001400635	
4.383	-0.001864218	
4.385	-0.002022325	
4.386	-0.002183024	
4.387	-0.002386865	
4.389	-0.001829091	
4.39	-0.002235538	
4.391	-0.002681789	
4.393	-0.002723983	
4.394	-0.003139488	
4.395	-0.002629681	
4.397	-0.002188066	
4.398	-0.002411558	
4.399	-0.002586597	
4.401	-0.002094203	
4.402	-0.001783997	
4.403	-0.001609868	
4.405	-0.001101533	
4.406	-0.0005116897	
4.407	-6.446541E-05	
4.409	-9.34788E-05	
4.41	0.0003514788	
4.411	0.001008891	
4.413	0.001048779	
4.414	0.001350198	
4.415	0.001712764	
4.417	0.002102153	
4.418	0.002165596	
4.419	0.002104761	
4.421	0.002649965	
4.422	0.002570836	
4.423	0.002210864	
4.425	0.002068631	
4.426	0.002423736	
4.427	0.003187876	
4.429	0.00384516	
4.43	0.003796179	
4.431	0.003737692	
4.433	0.00450583	
4.434	0.004189158	
4.435	0.00297748	
4.437	0.002643294	
4.438	0.002514533	
4.439	0.001881661	
4.441	0.001624568	
4.442	0.001535567	
4.443	0.00198564	
4.445	0.002009676	
4.446	0.002090327	
4.447	0.003012443	
4.449	0.003223099	
4.45	0.003799114	
4.451	0.004481985	
4.453	0.004359303	
4.454	0.004061953	
4.455	0.004076442	
4.457	0.004689605	
4.458	0.004895913	
4.459	0.00488519	
4.461	0.005133828	
4.462	0.004242039	
4.463	0.003902198	
4.465	0.004183117	
4.466	0.004037939	
4.467	0.003594647	
4.469	0.003336925	
4.47	0.003304912	
4.471	0.002729082	
4.473	0.001890295	
4.474	0.001193543	
4.475	0.00103205	
4.476	0.001555249	
4.478	0.001810991	
4.479	0.002363897	
4.48	0.002321278	
4.482	0.00279099	
4.483	0.003286111	
4.484	0.003053346	
4.486	0.003168938	
4.487	0.002541809	
4.488	0.002702693	
4.49	0.002973418	
4.491	0.003471621	
4.492	0.004040002	
4.494	0.004483168	
4.495	0.004625286	
4.496	0.004565255	
4.498	0.004976929	
4.499	0.00433133	
4.5	0.004150153	
4.502	0.004863517	
4.503	0.004709936	
4.504	0.004227405	
4.506	0.005132708	
4.507	0.005377384	
4.508	0.005463738	
4.51	0.004756666	
4.511	0.003887113	
4.512	0.003793638	
4.514	0.003443675	
4.515	0.002901817	
4.516	0.003351202	
4.518	0.0037779	
4.519	0.003740108	
4.52	0.004123892	
4.522	0.003914481	
4.523	0.003572969	
4.524	0.003294376	
4.526	0.003051248	
4.527	0.003144989	
4.528	0.004530472	
4.53	0.005630617	
4.531	0.005535964	
4.532	0.005578906	
4.534	0.005759345	
4.535	0.005500763	
4.536	0.004844879	
4.538	0.005300969	
4.539	0.006590731	
4.54	0.006723226	
4.542	0.007555517	
4.543	0.006904105	
4.544	0.006540155	
4.546	0.00584718	
4.547	0.005347934	
4.548	0.005173525	
4.55	0.004722826	
4.551	0.004294397	
4.552	0.004466524	
4.554	0.004446978	
4.555	0.003892884	
4.556	0.003304025	
4.558	0.00308947	
4.559	0.002380404	
4.56	0.002011821	
4.562	0.001336826	
4.563	0.0008240379	
4.564	0.0002938772	
4.566	0.000706462	
4.567	0.0007635347	
4.568	0.001536398	
4.57	0.001886267	
4.571	0.002473015	
4.572	0.002964965	
4.574	0.002673867	
4.575	0.002401065	
4.576	0.003037859	
4.578	0.003563065	
4.579	0.003056918	
4.58	0.003000648	
4.582	0.003608039	
4.583	0.002823144	
4.584	0.001939936	
4.586	0.002400675	
4.587	0.002532672	
4.588	0.003975381	
4.59	0.004110089	
4.591	0.003929587	
4.592	0.003927576	
4.594	0.004015949	
4.595	0.003063801	
4.596	0.001969866	
4.598	0.002076499	
4.599	0.002137973	
4.6	0.001217611	
4.602	0.002758284	
4.603	0.003966959	
4.604	0.004068431	
4.606	0.00360883	
4.607	0.00384795	
4.608	0.003250168	
4.61	0.003270181	
4.611	0.002396032	
4.612	0.002946649	
4.614	0.003350427	
4.615	0.003624826	
4.616	0.004018991	
4.617	0.004924696	
4.619	0.004770237	
4.62	0.004584824	
4.621	0.004298384	
4.623	0.004164016	
4.624	0.003917853	
4.625	0.004000246	
4.627	0.003455964	
4.628	0.003080042	
4.629	0.002839583	
4.631	0.003324372	
4.632	0.003300902	
4.633	0.004122486	
4.635	0.002951696	
4.636	0.003220893	
4.637	0.003373608	
4.639	0.003201236	
4.64	0.003958143	
4.641	0.00436257	
4.643	0.004017528	
4.644	0.003311807	
4.645	0.003112332	
4.647	0.003683867	
4.648	0.002870578	
4.649	0.00277687	
4.651	0.002830099	
4.652	0.00253037	
4.653	0.00215095	
4.655	0.001099946	
4.656	-0.0004094017	
4.657	-0.000457964	
4.659	-0.0004878523	
4.66	-0.0005547794	
4.661	-0.000506865	
4.663	-0.0002874	
4.664	-0.0007264316	
4.665	-0.0002075915	
4.667	0.000267245	
4.668	-0.0004163877	
4.669	-0.001728265	
4.671	-0.002302836	
4.672	-0.003857428	
4.673	-0.00438543	
4.675	-0.00362799	
4.676	-0.003334784	
4.677	-0.002485262	
4.679	-0.003202046	
4.68	-0.003449668	
4.681	-0.003738547	
4.683	-0.004131838	
4.684	-0.005088917	
4.685	-0.005211208	
4.687	-0.005069149	
4.688	-0.004435044	
4.689	-0.003959407	
4.691	-0.004968802	
4.692	-0.005378197	
4.693	-0.00504507	
4.695	-0.004991818	
4.696	-0.00357357	
4.697	-0.003599179	
4.699	-0.003925615	
4.7	-0.004590303	
4.701	-0.004632484	
4.703	-0.005158191	
4.704	-0.005970871	
4.705	-0.005939132	
4.707	-0.00614187	
4.708	-0.005602989	
4.709	-0.005803479	
4.711	-0.004965836	
4.712	-0.004871909	
4.713	-0.005782303	
4.715	-0.006178303	
4.716	-0.005214012	
4.717	-0.004794195	
4.719	-0.004872716	
4.72	-0.005178587	
4.721	-0.004980015	
4.723	-0.003790163	
4.724	-0.003237308	
4.725	-0.0036342	
4.727	-0.003102652	
4.728	-0.003209033	
4.729	-0.002097744	
4.731	-0.001295542	
4.732	-0.001354849	
4.733	-0.0004571867	
4.735	-0.0007118146	
4.736	-0.001305428	
4.737	-0.001138706	
4.739	-1.336146E-05	
4.74	0.0007909047	
4.741	0.0004239059	
4.743	-0.000106639	
4.744	-0.000539254	
4.745	0.0006263009	
4.747	0.00122021	
4.748	0.001300278	
4.749	0.001574249	
4.751	0.001679638	
4.752	0.00144586	
4.753	0.001948797	
4.755	0.002589165	
4.756	0.002632403	
4.757	0.003436805	
4.758	0.003855997	
4.76	0.004201699	
4.761	0.004140385	
4.762	0.002849957	
4.764	0.002446711	
4.765	0.002500042	
4.766	0.003333518	
4.768	0.004431558	
4.769	0.004820039	
4.77	0.004925665	
4.772	0.004642524	
4.773	0.004170792	
4.774	0.003735151	
4.776	0.003859231	
4.777	0.003440511	
4.778	0.003521906	
4.78	0.004216307	
4.781	0.004817121	
4.782	0.004505056	
4.784	0.004391246	
4.785	0.004522575	
4.786	0.004284757	
4.788	0.003879763	
4.789	0.003789397	
4.79	0.004174687	
4.792	0.004675261	
4.793	0.004185006	
4.794	0.003853796	
4.796	0.003315471	
4.797	0.002929391	
4.798	0.002690817	
4.8	0.002225464	
4.801	0.001976051	
4.802	0.002281926	
4.804	0.001891517	
4.805	0.00169703	
4.806	0.001264503	
4.808	0.00127577	
4.809	0.001724848	
4.81	0.002100475	
4.812	0.001357026	
4.813	0.0007535195	
4.814	0.0005527247	
4.816	0.0009641089	
4.817	0.001478868	
4.818	0.001009733	
4.82	0.0005255245	
4.821	0.0006135475	
4.822	0.0009886334	
4.824	0.00147249	
4.825	0.00168064	
4.826	0.001790436	
4.828	0.002085563	
4.829	0.002289157	
4.83	0.002158475	
4.832	0.002497425	
4.833	0.002199112	
4.834	0.00127608	
4.836	0.0009541553	
4.837	0.001382664	
4.838	0.001186451	
4.84	0.001289802	
4.841	0.001464632	
4.842	0.002124636	
4.844	0.002736144	
4.845	0.0033323	
4.846	0.003902958	
4.848	0.004253662	
4.849	0.00451802	
4.85	0.004109806	
4.852	0.003718814	
4.853	0.004560189	
4.854	0.004718678	
4.856	0.00438245	
4.857	0.004309153	
4.858	0.004269574	
4.86	0.003920647	
4.861	0.004011055	
4.862	0.003897127	
4.864	0.003523347	
4.865	0.003565303	
4.866	0.003341206	
4.868	0.003301505	
4.869	0.003819411	
4.87	0.005082634	
4.872	0.005685396	
4.873	0.00577742	
4.874	0.005899656	
4.876	0.00558903	
4.877	0.005687022	
4.878	0.005456092	
4.88	0.005301179	
4.881	0.005550283	
4.882	0.005175401	
4.884	0.005188313	
4.885	0.00624714	
4.886	0.006826769	
4.888	0.007025856	
4.889	0.007380189	
4.89	0.006997661	
4.892	0.007269759	
4.893	0.007392934	
4.894	0.007282958	
4.896	0.007713311	
4.897	0.008259876	
4.898	0.008529352	
4.899	0.008723544	
4.901	0.009400359	
4.902	0.01008441	
4.903	0.00992571	
4.905	0.01046583	
4.906	0.01121236	
4.907	0.01168914	
4.909	0.0106566	
4.91	0.009518618	
4.911	0.009201781	
4.913	0.008813142	
4.914	0.008803088	
4.915	0.00851201	
4.917	0.008432589	
4.918	0.008549925	
4.919	0.008106706	
4.921	0.008006334	
4.922	0.008276658	
4.923	0.007790153	
4.925	0.007335139	
4.926	0.007485138	
4.927	0.007757058	
4.929	0.008386876	
4.93	0.009139803	
4.931	0.00912314	
4.933	0.009364927	
4.934	0.01046923	
4.935	0.01112613	
4.937	0.01061965	
4.938	0.01090799	
4.939	0.0119581	
4.941	0.01190617	
4.942	0.01158565	
4.943	0.01099377	
4.945	0.01079843	
4.946	0.01076784	
4.947	0.01061179	
4.949	0.01020827	
4.95	0.009964515	
4.951	0.009461959	
4.953	0.008750938	
4.954	0.008681391	
4.955	0.008378949	
4.957	0.008256881	
4.958	0.008103752	
4.959	0.007880474	
4.961	0.007822012	
4.962	0.007539958	
4.963	0.006898477	
4.965	0.006112428	
4.966	0.005664416	
4.967	0.005711548	
4.969	0.005384546	
4.97	0.005094983	
4.971	0.004985289	
4.973	0.004474769	
4.974	0.003806236	
4.975	0.003948924	
4.977	0.004039578	
4.978	0.003117663	
4.979	0.002627545	
4.981	0.002287481	
4.982	0.002342461	
4.983	0.002721529	
4.985	0.00360243	
4.986	0.004509228	
4.987	0.005359441	
4.989	0.005720694	
4.99	0.005910075	
4.991	0.006153049	
4.993	0.005930845	
4.994	0.005427836	
4.995	0.004391255	
4.997	0.003400981	
4.998	0.003004544	
4.999	0.002513517	
5.001	0.001900241	
5.002	0.001724289	
5.003	0.001658003	
5.005	0.0009562425	
5.006	-3.814121E-05	
5.007	-4.658421E-05	
5.009	0.0001811707	
5.01	0.0003231679	
5.011	0.0006910474	
5.013	0.0009298305	
5.014	0.001474891	
5.015	0.002191712	
5.017	0.002566104	
5.018	0.002465834	
5.019	0.003418806	
5.021	0.003621738	
5.022	0.002921659	
5.023	0.002924365	
5.025	0.002817777	
5.026	0.002872405	
5.027	0.002886307	
5.029	0.003378421	
5.03	0.004264408	
5.031	0.004775313	
5.033	0.004835553	
5.034	0.004347006	
5.035	0.004239367	
5.037	0.004554978	
5.038	0.005198947	
5.039	0.005453837	
5.041	0.005199738	
5.042	0.005267048	
5.043	0.005722046	
5.044	0.005717844	
5.046	0.005844903	
5.047	0.005978386	
5.048	0.006127234	
5.05	0.006352427	
5.051	0.005779336	
5.052	0.005311011	
5.054	0.004641301	
5.055	0.004038999	
5.056	0.004132149	
5.058	0.004272908	
5.059	0.004108843	
5.06	0.004379743	
5.062	0.005198884	
5.063	0.005517135	
5.064	0.006093457	
5.066	0.006208049	
5.067	0.005551679	
5.068	0.005024441	
5.07	0.004875466	
5.071	0.005103031	
5.072	0.004407269	
5.074	0.004260331	
5.075	0.003623039	
5.076	0.004170309	
5.078	0.004682508	
5.079	0.005195172	
5.08	0.004812443	
5.082	0.004123833	
5.083	0.004038627	
5.084	0.003769124	
5.086	0.003206719	
5.087	0.002915934	
5.088	0.003091704	
5.09	0.002433178	
5.091	0.001853321	
5.092	0.001032862	
5.094	0.0005699318	
5.095	0.0008636362	
5.096	0.0001457072	
5.098	0.0003640634	
5.099	0.0006256935	
5.1	0.000618704	
5.102	3.37491E-05	
5.103	-0.0009034919	
5.104	-0.001632877	
5.106	-0.002203212	
5.107	-0.002188701	
5.108	-0.002076434	
5.11	-0.001831077	
5.111	-0.001149864	
5.112	-0.0003023483	
5.114	0.000183965	
5.115	0.000169723	
5.116	-0.000173128	
5.118	-0.000307521	
5.119	-0.0001482362	
5.12	-0.0001820478	
5.122	0.000307524	
5.123	-0.0002776292	
5.124	-0.0003853326	
5.126	-0.0002871488	
5.127	-0.0001022034	
5.128	-0.0009561197	
5.13	-0.0008497902	
5.131	-0.0009914003	
5.132	-0.0005464053	
5.134	0.0002474295	
5.135	0.0004051317	
5.136	0.000276104	
5.138	0.0006481404	
5.139	0.001506711	
5.14	0.001269773	
5.142	0.001254274	
5.143	0.001502376	
5.144	0.001474515	
5.146	0.001202708	
5.147	0.001064445	
5.148	0.001467325	
5.15	0.001346385	
5.151	0.001488084	
5.152	0.001583013	
5.154	0.002319856	
5.155	0.002717664	
5.156	0.003005988	
5.158	0.002911512	
5.159	0.002926146	
5.16	0.003210409	
5.162	0.002060797	
5.163	0.001810307	
5.164	0.001301547	
5.166	0.0009800995	
5.167	0.0008248995	
5.168	0.0009575794	
5.17	0.002085872	
5.171	0.002420673	
5.172	0.002898471	
5.174	0.003243336	
5.175	0.003807025	
5.176	0.002901387	
5.178	0.003466137	
5.179	0.003327449	
5.18	0.002528846	
5.182	0.001922329	
5.183	0.001572003	
5.184	0.002139837	
5.185	0.001396824	
5.187	0.0008433116	
5.188	0.001193044	
5.189	0.002261628	
5.191	0.002762455	
5.192	0.002761431	
5.193	0.002955274	
5.195	0.003402789	
5.196	0.004096121	
5.197	0.003133663	
5.199	0.002741689	
5.2	0.002487946	
5.201	0.002042897	
5.203	0.002311088	
5.204	0.001594675	
5.205	0.001148038	
5.207	0.001758624	
5.208	0.002742371	
5.209	0.002022998	
5.211	0.00120259	
5.212	0.001380226	
5.213	0.001351785	
5.215	0.0002641037	
5.216	-0.0003792701	
5.217	-0.0006221235	
5.219	-0.0007540469	
5.22	-0.001678545	
5.221	-0.002228677	
5.223	-0.002556334	
5.224	-0.002013335	
5.225	-0.001562848	
5.227	-0.00119243	
5.228	-0.0005719697	
5.229	-0.0007218816	
5.231	-0.0006028211	
5.232	-0.0009456715	
5.233	-0.001541373	
5.235	0.0001885709	
5.236	-0.001225821	
5.237	-0.00208605	
5.239	-0.003117387	
5.24	-0.003685909	
5.241	-0.003994603	
5.243	-0.002594984	
5.244	-0.003146655	
5.245	-0.002521895	
5.247	-0.002125551	
5.248	-0.001241407	
5.249	-0.001594045	
5.251	-0.002212157	
5.252	-0.002091799	
5.253	-0.001552993	
5.255	-0.002187854	
5.256	-0.003255122	
5.257	-0.004055919	
5.259	-0.004595587	
5.26	-0.004514717	
5.261	-0.004692595	
5.263	-0.005988897	
5.264	-0.005186145	
5.265	-0.005065821	
5.267	-0.005185115	
5.268	-0.00540605	
5.269	-0.005090168	
5.271	-0.004507345	
5.272	-0.004144851	
5.273	-0.004782039	
5.275	-0.005255129	
5.276	-0.005208845	
5.277	-0.004851111	
5.279	-0.004903534	
5.28	-0.004161157	
5.281	-0.003554028	
5.283	-0.00275377	
5.284	-0.00225329	
5.285	-0.001122934	
5.287	-0.001665487	
5.288	-0.001950398	
5.289	-0.001220486	
5.291	-0.0008071841	
5.292	-0.0009970185	
5.293	-0.0009162854	
5.295	-0.0006990181	
5.296	0.0006748639	
5.297	0.0006895157	
5.299	0.001566135	
5.3	0.002511081	
5.301	0.001513155	
5.303	0.002667565	
5.304	0.003538657	
5.305	0.004544685	
5.307	0.004103169	
5.308	0.004653071	
5.309	0.003262217	
5.311	0.003946001	
5.312	0.003649821	
5.313	0.002275682	
5.315	0.001675128	
5.316	0.002371929	
5.317	0.001351146	
5.319	0.001654065	
5.32	0.002471456	
5.321	0.002687233	
5.323	0.00274308	
5.324	0.002554334	
5.325	0.003738418	
5.326	0.004031419	
5.328	0.00358495	
5.329	0.003822815	
5.33	0.003446988	
5.332	0.003871447	
5.333	0.004342423	
5.334	0.004906018	
5.336	0.004768207	
5.337	0.004570916	
5.338	0.004501779	
5.34	0.004698041	
5.341	0.004612544	
5.342	0.005100258	
5.344	0.005035012	
5.345	0.005165439	
5.346	0.004851703	
5.348	0.004232968	
5.349	0.003954866	
5.35	0.003292181	
5.352	0.00249486	
5.353	0.00289302	
5.354	0.003074921	
5.356	0.002901211	
5.357	0.002421302	
5.358	0.002657714	
5.36	0.001887741	
5.361	0.001130596	
5.362	0.00047847	
5.364	0.0007769128	
5.365	-0.0001256399	
5.366	-0.0008103857	
5.368	-0.001084754	
5.369	-0.001174234	
5.37	-0.001112263	
5.372	-0.001388686	
5.373	-0.0006528618	
5.374	-0.001753004	
5.376	-0.001230743	
5.377	-0.0009912732	
5.378	-0.001492467	
5.38	-0.0005500434	
5.381	-3.636848E-05	
5.382	-6.543069E-05	
5.384	0.001688893	
5.385	0.001972957	
5.386	0.001322989	
5.388	0.001159846	
5.389	0.0009390697	
5.39	0.001139542	
5.392	-0.0001907643	
5.393	-0.0007212593	
5.394	-0.0002729951	
5.396	6.735325E-05	
5.397	0.0004161291	
5.398	-0.0006194568	
5.4	-0.0006579419	
5.401	-0.0008536481	
5.402	-0.001691777	
5.404	-0.00272375	
5.405	-0.003235093	
5.406	-0.003548967	
5.408	-0.003662362	
5.409	-0.003291725	
5.41	-0.002869516	
5.412	-0.003387436	
5.413	-0.00330111	
5.414	-0.002612652	
5.416	-0.002263601	
5.417	-0.001557261	
5.418	-0.001614115	
5.42	-0.00172019	
5.421	-0.001834388	
5.422	-0.001948992	
5.424	-0.001742081	
5.425	-0.002176943	
5.426	-0.002068824	
5.428	-0.001672052	
5.429	-0.002056493	
5.43	-0.002445968	
5.432	-0.001780089	
5.433	-0.001371249	
5.434	-0.0009824533	
5.436	-0.001154448	
5.437	-0.001319802	
5.438	-0.001473258	
5.44	-0.001478743	
5.441	-0.001035175	
5.442	-0.0007300581	
5.444	-0.001080329	
5.445	-0.001443702	
5.446	-0.001497759	
5.448	-0.001285719	
5.449	-0.001210813	
5.45	-0.001656268	
5.452	-0.002362086	
5.453	-0.002998851	
5.454	-0.003461734	
5.456	-0.003310218	
5.457	-0.003349347	
5.458	-0.002323348	
5.46	-0.001480473	
5.461	-0.0009712092	
5.462	-0.0006948169	
5.464	-0.0009936559	
5.465	-0.0006360342	
5.466	-0.0005287398	
5.467	-0.0004989751	
5.469	0.0002390625	
5.47	0.001399686	
5.471	0.002321871	
5.473	0.002967822	
5.474	0.003437819	
5.475	0.002760099	
5.477	0.002747213	
5.478	0.003220872	
5.479	0.003549233	
5.481	0.003635786	
5.482	0.003098963	
5.483	0.002434499	
5.485	0.002519123	
5.486	0.002657477	
5.487	0.002445644	
5.489	0.002150079	
5.49	0.001674122	
5.491	0.002038232	
5.493	0.002559086	
5.494	0.002555564	
5.495	0.00253579	
5.497	0.002532202	
5.498	0.002309043	
5.499	0.002361248	
5.501	0.002629613	
5.502	0.002860922	
5.503	0.003337395	
5.505	0.003720203	
5.506	0.003578476	
5.507	0.003117977	
5.509	0.002402456	
5.51	0.001660699	
5.511	0.001604798	
5.513	0.002319021	
5.514	0.002290815	
5.515	0.002052293	
5.517	0.002122062	
5.518	0.002418369	
5.519	0.00328174	
5.521	0.003887302	
5.522	0.004680838	
5.523	0.005326898	
5.525	0.005514564	
5.526	0.00568186	
5.527	0.005175927	
5.529	0.005127833	
5.53	0.005731289	
5.531	0.006002545	
5.533	0.005486783	
5.534	0.005034449	
5.535	0.004981595	
5.537	0.004944062	
5.538	0.004214779	
5.539	0.003125561	
5.541	0.002522068	
5.542	0.003256752	
5.543	0.003333987	
5.545	0.002980149	
5.546	0.002231963	
5.547	0.001550272	
5.549	0.001660739	
5.55	0.001750484	
5.551	0.001546853	
5.553	0.001646336	
5.554	0.00185246	
5.555	0.002611597	
5.557	0.003033585	
5.558	0.002685956	
5.559	0.002588628	
5.561	0.002642318	
5.562	0.002532392	
5.563	0.002413988	
5.565	0.002122486	
5.566	0.001520143	
5.567	0.001163712	
5.569	0.0007141776	
5.57	0.0003647237	
5.571	0.0006135817	
5.573	0.0008829794	
5.574	0.0009920166	
5.575	0.0009723008	
5.577	0.001120457	
5.578	0.001176772	
5.579	0.0003967982	
5.581	-8.654105E-05	
5.582	0.0001799448	
5.583	-0.0002423068	
5.585	-0.0011861	
5.586	-0.002115777	
5.587	-0.002486227	
5.589	-0.002938479	
5.59	-0.003061117	
5.591	-0.002877801	
5.593	-0.003136694	
5.594	-0.003089777	
5.595	-0.003254199	
5.597	-0.003732289	
5.598	-0.004153059	
5.599	-0.003782491	
5.601	-0.003056946	
5.602	-0.002742118	
5.603	-0.002837886	
5.605	-0.003110762	
5.606	-0.00278378	
5.607	-0.002851149	
5.609	-0.003482402	
5.61	-0.003572949	
5.611	-0.002582302	
5.612	-0.001450995	
5.614	-0.0003459631	
5.615	-0.0001491773	
5.616	-0.0005761354	
5.618	-0.0005451796	
5.619	-4.895254E-05	
5.62	0.0003676318	
5.622	0.0003922636	
5.623	0.0003963805	
5.624	0.0006081777	
5.626	0.0004806214	
5.627	0.0006938357	
5.628	0.0008821822	
5.63	0.001227351	
5.631	0.001513897	
5.632	0.002270776	
5.634	0.002551655	
5.635	0.002809362	
5.636	0.002767097	
5.638	0.00199589	
5.639	0.001850936	
5.64	0.00194232	
5.642	0.002162709	
5.643	0.00270948	
5.644	0.002922219	
5.646	0.002796932	
5.647	0.002314606	
5.648	0.002080213	
5.65	0.002312652	
5.651	0.00330213	
5.652	0.003950831	
5.654	0.003798554	
5.655	0.003676144	
5.656	0.003681014	
5.658	0.003477052	
5.659	0.003618002	
5.66	0.002685417	
5.662	0.002609525	
5.663	0.002448602	
5.664	0.002343684	
5.666	0.002298816	
5.667	0.002000955	
5.668	0.001687557	
5.67	0.001889025	
5.671	0.00243175	
5.672	0.002671419	
5.674	0.003278255	
5.675	0.003375745	
5.676	0.003073433	
5.678	0.002171732	
5.679	0.0008942997	
5.68	0.0003695058	
5.682	6.344903E-05	
5.683	0.0004416534	
5.684	0.0009664387	
5.686	0.0004476014	
5.687	-0.000573493	
5.688	-0.001818169	
5.69	-0.001833025	
5.691	-0.001042505	
5.692	-0.0007841336	
5.694	-0.0006759925	
5.695	-0.0001867565	
5.696	-0.0004287635	
5.698	-0.0006791127	
5.699	-0.001463161	
5.7	-0.001637901	
5.702	-0.001954522	
5.703	-0.001915275	
5.704	-0.001803042	
5.706	-0.002372773	
5.707	-0.002811306	
5.708	-0.00288427	
5.71	-0.003813209	
5.711	-0.004421629	
5.712	-0.004506574	
5.714	-0.004055447	
5.715	-0.00377992	
5.716	-0.003867007	
5.718	-0.003586517	
5.719	-0.003544369	
5.72	-0.003151838	
5.722	-0.003086876	
5.723	-0.00296096	
5.724	-0.003257425	
5.726	-0.002882242	
5.727	-0.002675043	
5.728	-0.002248854	
5.73	-0.001691637	
5.731	-0.002323624	
5.732	-0.003115897	
5.734	-0.003152728	
5.735	-0.003279556	
5.736	-0.00360393	
5.738	-0.003816636	
5.739	-0.003379609	
5.74	-0.002819811	
5.742	-0.002784056	
5.743	-0.002660207	
5.744	-0.002454784	
5.746	-0.002220941	
5.747	-0.001746293	
5.748	-0.001394002	
5.75	-0.0008331251	
5.751	-7.496024E-05	
5.752	-0.0001078502	
5.753	0.0008051624	
5.755	0.001923925	
5.756	0.002015202	
5.757	0.001507018	
5.759	0.0006811475	
5.76	0.0005066395	
5.761	0.0005490357	
5.763	0.001041275	
5.764	0.001018012	
5.765	0.001542978	
5.767	0.001190531	
5.768	0.002633266	
5.769	0.003213785	
5.771	0.002184368	
5.772	0.002312432	
5.773	0.00263342	
5.775	0.002397932	
5.776	0.002715737	
5.777	0.002762597	
5.779	0.003329125	
5.78	0.004637017	
5.781	0.005818213	
5.783	0.006377285	
5.784	0.006170169	
5.785	0.006701239	
5.787	0.007086914	
5.788	0.006409792	
5.789	0.006664443	
5.791	0.007232292	
5.792	0.006757992	
5.793	0.007696216	
5.795	0.00726608	
5.796	0.006347282	
5.797	0.00707739	
5.799	0.008265154	
5.8	0.008435351	
5.801	0.007961911	
5.803	0.007750554	
5.804	0.007512167	
5.805	0.006738076	
5.807	0.006139776	
5.808	0.006136178	
5.809	0.005716858	
5.811	0.005092974	
5.812	0.00505075	
5.813	0.00438227	
5.815	0.004085788	
5.816	0.003704824	
5.817	0.002558077	
5.819	0.001490787	
5.82	0.0008910935	
5.821	0.001361057	
5.823	0.001668162	
5.824	0.0006486814	
5.825	0.0009819507	
5.827	-8.150581E-05	
5.828	-0.0009039855	
5.829	-0.000750231	
5.831	-0.0004850409	
5.832	-0.000183269	
5.833	-0.0002582181	
5.835	-0.001962004	
5.836	-0.002282127	
5.837	-0.0008756964	
5.839	-0.000325451	
5.84	-0.0003603673	
5.841	0.0005052995	
5.843	0.0004639349	
5.844	0.0006078374	
5.845	-0.0006976551	
5.847	-0.001904518	
5.848	-0.003334218	
5.849	-0.005101935	
5.851	-0.004880083	
5.852	-0.005060336	
5.853	-0.005166353	
5.855	-0.004925087	
5.856	-0.005432438	
5.857	-0.006246275	
5.859	-0.005901721	
5.86	-0.006054295	
5.861	-0.006257298	
5.863	-0.007146725	
5.864	-0.006508045	
5.865	-0.006752605	
5.867	-0.007174859	
5.868	-0.006036293	
5.869	-0.00572679	
5.871	-0.00652251	
5.872	-0.00624207	
5.873	-0.005473332	
5.875	-0.004829733	
5.876	-0.00411385	
5.877	-0.004234623	
5.879	-0.004081892	
5.88	-0.003887927	
5.881	-0.004009235	
5.883	-0.00315318	
5.884	-0.003185558	
5.885	-0.001711276	
5.887	-0.001555284	
5.888	-0.001272542	
5.889	-0.001011055	
5.891	-0.0002313387	
5.892	0.0004115672	
5.893	0.0009012576	
5.894	0.001201921	
5.896	0.0007213191	
5.897	-9.045989E-05	
5.898	-0.0001069566	
5.9	0.0002180402	
5.901	0.001164396	
5.902	0.001591915	
5.904	0.0007030098	
5.905	0.0005562697	
5.906	0.0008710445	
5.908	0.0006241641	
5.909	0.001381615	
5.91	0.002078992	
5.912	0.003315688	
5.913	0.004010691	
5.914	0.003768603	
5.916	0.004282257	
5.917	0.004742113	
5.918	0.003465667	
5.92	0.002270176	
5.921	0.003092574	
5.922	0.003379046	
5.924	0.003865938	
5.925	0.003657861	
5.926	0.003429639	
5.928	0.003636776	
