Chrom.1		Chrom.1 (1)		Chrom.1 (2)		Chrom.1 (3)		Chrom.1 (4)		Chrom.1 (5)		
UV		UV		UV		UV		UV		UV		
ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	
0.074	2.074054	0.074	2.155502	0.074	2.183844	0.074	2.212011	0.074	2.211249	0.074	2.230355	
0.075	2.073656	0.075	2.147787	0.075	2.179586	0.075	2.208355	0.075	2.206711	0.075	2.226247	
0.076	2.07247	0.076	2.138986	0.076	2.174979	0.076	2.204808	0.076	2.202629	0.076	2.220722	
0.078	2.071923	0.077	2.129419	0.078	2.169557	0.078	2.199216	0.078	2.197494	0.078	2.214553	
0.079	2.07056	0.079	2.11835	0.079	2.16239	0.079	2.192846	0.079	2.191414	0.079	2.208821	
0.08	2.069592	0.08	2.108654	0.08	2.154258	0.08	2.1871	0.08	2.185064	0.08	2.204423	
0.082	2.068731	0.081	2.09869	0.082	2.146044	0.082	2.180487	0.082	2.179171	0.082	2.199786	
0.083	2.067218	0.083	2.089206	0.083	2.137493	0.083	2.172934	0.083	2.17385	0.083	2.195179	
0.084	2.066784	0.084	2.08032	0.084	2.128907	0.084	2.165904	0.084	2.170087	0.084	2.190071	
0.086	2.066217	0.085	2.071711	0.086	2.119911	0.086	2.158948	0.086	2.166667	0.086	2.185514	
0.087	2.064461	0.087	2.063501	0.087	2.111418	0.087	2.152293	0.087	2.16244	0.087	2.183847	
0.088	2.062438	0.088	2.055341	0.088	2.103333	0.088	2.145522	0.088	2.158666	0.088	2.180329	
0.09	2.061322	0.089	2.048119	0.09	2.096319	0.09	2.139844	0.09	2.156037	0.09	2.176078	
0.091	2.060613	0.091	2.042344	0.091	2.089215	0.091	2.134391	0.091	2.154031	0.091	2.173315	
0.092	2.059186	0.092	2.037107	0.092	2.082563	0.092	2.129663	0.092	2.150687	0.092	2.170818	
0.094	2.058342	0.093	2.032125	0.094	2.076522	0.094	2.12467	0.094	2.147707	0.094	2.168384	
0.095	2.058329	0.095	2.02812	0.095	2.071743	0.095	2.120521	0.095	2.14631	0.095	2.165778	
0.096	2.057368	0.096	2.023826	0.096	2.067316	0.096	2.116474	0.096	2.143161	0.096	2.163799	
0.098	2.05593	0.097	2.019615	0.098	2.061975	0.098	2.112543	0.098	2.1407	0.098	2.161466	
0.099	2.055007	0.099	2.015588	0.099	2.057205	0.099	2.107758	0.099	2.138821	0.099	2.1606	
0.1	2.052866	0.1	2.011339	0.1	2.053793	0.1	2.104321	0.1	2.136447	0.1	2.159465	
0.102	2.051863	0.101	2.00773	0.102	2.0504	0.102	2.101726	0.102	2.134054	0.102	2.1588	
0.103	2.051196	0.103	2.004153	0.103	2.046505	0.103	2.098356	0.103	2.132312	0.103	2.158074	
0.104	2.050718	0.104	2.001288	0.104	2.04323	0.104	2.095422	0.104	2.130584	0.104	2.156398	
0.106	2.050084	0.105	1.999401	0.106	2.040619	0.106	2.092653	0.106	2.129815	0.106	2.15546	
0.107	2.051129	0.107	1.997309	0.107	2.037858	0.107	2.091724	0.107	2.129627	0.107	2.154055	
0.108	2.051732	0.108	1.994999	0.108	2.035023	0.108	2.089992	0.108	2.128899	0.108	2.152511	
0.11	2.052372	0.109	1.99347	0.11	2.032034	0.11	2.087654	0.11	2.128348	0.11	2.151159	
0.111	2.052618	0.111	1.991834	0.111	2.030055	0.111	2.085293	0.111	2.127626	0.111	2.149632	
0.112	2.054306	0.112	1.99036	0.112	2.027707	0.112	2.083162	0.112	2.127437	0.112	2.148934	
0.114	2.054843	0.113	1.988967	0.114	2.026068	0.114	2.081173	0.114	2.128535	0.114	2.148179	
0.115	2.055706	0.115	1.987948	0.115	2.024498	0.115	2.07975	0.115	2.128555	0.115	2.147065	
0.116	2.056349	0.116	1.987775	0.116	2.022877	0.116	2.078744	0.116	2.128567	0.116	2.146555	
