Chrom.1 (5)		Chrom.1		Chrom.1 (1)		Chrom.1 (2)		Chrom.1 (3)		Chrom.1 (4)		
UV		UV		UV		UV		UV		UV		
ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	
6.356	-0.06115817	6.356	0.09319089	6.356	-0.1756086	6.356	-0.1288635	6.356	-0.1189927	6.356	-0.09976641	
6.358	-0.06077038	6.358	0.09288	6.358	-0.1747303	6.358	-0.1285754	6.358	-0.1185668	6.358	-0.09941571	
6.359	-0.06059836	6.359	0.09200575	6.359	-0.1755354	6.359	-0.1287868	6.359	-0.1195084	6.359	-0.09920494	
6.36	-0.0608667	6.36	0.09037481	6.36	-0.175784	6.36	-0.1288902	6.36	-0.1201814	6.36	-0.09855387	
6.362	-0.0605117	6.362	0.0907339	6.362	-0.1746275	6.362	-0.1285809	6.362	-0.12065	6.362	-0.09793455	
6.363	-0.05992692	6.363	0.09122672	6.363	-0.1739273	6.363	-0.1282474	6.363	-0.1204294	6.363	-0.09801234	
6.364	-0.05963559	6.364	0.09081873	6.364	-0.1741312	6.364	-0.1275163	6.364	-0.1201541	6.364	-0.09796727	
6.366	-0.05999247	6.366	0.09010564	6.366	-0.1740961	6.365	-0.1265351	6.366	-0.1200632	6.366	-0.09806436	
6.367	-0.05971276	6.367	0.08976492	6.367	-0.1739389	6.367	-0.1257906	6.367	-0.120192	6.367	-0.098281	
6.368	-0.05984061	6.368	0.08940492	6.368	-0.1738154	6.368	-0.1251341	6.368	-0.1203916	6.368	-0.09795287	
6.37	-0.06005357	6.37	0.08876324	6.37	-0.174091	6.369	-0.1250249	6.37	-0.1206757	6.37	-0.09739769	
6.371	-0.05979798	6.371	0.08898599	6.371	-0.174386	6.371	-0.1249805	6.371	-0.1215357	6.371	-0.09724081	
6.372	-0.05991969	6.372	0.08990791	6.372	-0.1740488	6.372	-0.1251792	6.372	-0.1211766	6.372	-0.09744536	
6.374	-0.05990654	6.374	0.0901987	6.374	-0.1747158	6.373	-0.1257909	6.374	-0.1217795	6.374	-0.09700748	
6.375	-0.06041212	6.375	0.09054448	6.375	-0.1754819	6.375	-0.1265996	6.375	-0.121333	6.375	-0.0968226	
6.376	-0.06093977	6.376	0.09053394	6.376	-0.1754998	6.376	-0.1268651	6.376	-0.1213717	6.376	-0.0972357	
6.378	-0.06090557	6.378	0.09065793	6.378	-0.1765103	6.377	-0.12668	6.378	-0.1218027	6.378	-0.09710419	
6.379	-0.06093299	6.379	0.09087262	6.379	-0.1778706	6.379	-0.1262013	6.379	-0.1226031	6.379	-0.0980524	
6.38	-0.06046099	6.38	0.09051338	6.38	-0.1788786	6.38	-0.126038	6.38	-0.1236169	6.38	-0.09784091	
6.382	-0.05981652	6.382	0.09045865	6.382	-0.1798484	6.381	-0.125048	6.382	-0.1240348	6.382	-0.09812076	
6.383	-0.06030286	6.383	0.09038291	6.383	-0.1798535	6.383	-0.1246976	6.383	-0.1236358	6.383	-0.09799127	
6.384	-0.06096955	6.384	0.0905381	6.384	-0.1794735	6.384	-0.1248171	6.384	-0.1240953	6.384	-0.09714552	
6.386	-0.06105055	6.386	0.09039202	6.386	-0.1798448	6.385	-0.1254519	6.386	-0.1240477	6.386	-0.09722949	
6.387	-0.06117587	6.387	0.09042297	6.387	-0.179645	6.387	-0.125758	6.387	-0.1250129	6.387	-0.09712165	
6.388	-0.06163036	6.388	0.09069749	6.388	-0.1800806	6.388	-0.1257573	6.388	-0.1255344	6.388	-0.09650072	
6.39	-0.06260313	6.39	0.09164105	6.39	-0.1806968	6.389	-0.1254598	6.39	-0.1253376	6.39	-0.09640786	
6.391	-0.06196044	6.391	0.09175321	6.391	-0.1805873	6.391	-0.1247583	6.391	-0.1261941	6.391	-0.09631758	
6.392	-0.06079416	6.392	0.09193099	6.392	-0.1808356	6.392	-0.1248719	6.392	-0.1270745	6.392	-0.09622761	
6.394	-0.06078209	6.394	0.09279206	6.394	-0.182214	6.393	-0.1253466	6.394	-0.1272244	6.394	-0.09716352	
6.395	-0.06061119	6.395	0.09321419	6.395	-0.182852	6.395	-0.1255014	6.395	-0.127728	6.395	-0.09747189	
6.396	-0.0608643	6.396	0.0931429	6.396	-0.183525	6.396	-0.1257553	6.396	-0.1275789	6.396	-0.09715482	
6.398	-0.06052868	6.398	0.09317978	6.398	-0.183658	6.397	-0.1265923	6.398	-0.1269285	6.398	-0.09654362	
6.399	-0.05975314	6.399	0.09371217	6.399	-0.1834336	6.399	-0.1273275	6.399	-0.1265437	6.399	-0.09571664	
6.4	-0.05939342	6.4	0.09388185	6.4	-0.1839152	6.4	-0.1268466	6.4	-0.1264719	6.4	-0.09532125	
6.402	-0.05821718	6.402	0.09374245	6.402	-0.1841205	6.401	-0.1270301	6.402	-0.1269455	6.402	-0.09536235	
6.403	-0.05780521	6.403	0.09443656	6.403	-0.1844301	6.403	-0.1261176	6.403	-0.1281052	6.403	-0.09583654	
6.404	-0.05727067	6.404	0.09520187	6.404	-0.1849718	6.404	-0.1258644	6.404	-0.1280207	6.404	-0.09583295	
6.406	-0.05735026	6.406	0.0956297	6.405	-0.1848819	6.405	-0.1255535	6.406	-0.1282589	6.406	-0.09559416	
6.407	-0.05595723	6.407	0.09589637	6.407	-0.1852075	6.407	-0.1245075	6.407	-0.1273589	6.407	-0.09551663	
6.408	-0.05549694	6.408	0.09592162	6.408	-0.1857327	6.408	-0.1246393	6.408	-0.1273629	6.408	-0.09586672	
6.41	-0.05437031	6.409	0.09635973	6.409	-0.1858471	6.409	-0.1237737	6.41	-0.1270751	6.41	-0.09592088	
6.411	-0.05449201	6.411	0.09634727	6.411	-0.1859118	6.411	-0.123753	6.411	-0.1267657	6.411	-0.0954257	
6.412	-0.054282	6.412	0.09508593	6.412	-0.185343	6.412	-0.1229931	6.412	-0.1259469	6.412	-0.09583384	
6.414	-0.05422097	6.413	0.09487646	6.413	-0.1845728	6.413	-0.122648	6.414	-0.1248822	6.414	-0.09602481	
6.415	-0.05499595	6.415	0.0946508	6.415	-0.1842945	6.415	-0.1222885	6.415	-0.1242459	6.415	-0.09627948	
6.416	-0.05514295	6.416	0.09507811	6.416	-0.1842028	6.416	-0.1220785	6.416	-0.1240951	6.416	-0.09610911	
6.418	-0.05371086	6.417	0.09519573	6.417	-0.1844212	6.417	-0.1230174	6.418	-0.124944	6.418	-0.09586086	
6.419	-0.05337121	6.419	0.09553346	6.419	-0.1841622	6.419	-0.122628	6.419	-0.1256478	6.419	-0.09543072	
6.42	-0.05315192	6.42	0.09565348	6.42	-0.1846129	6.42	-0.1227343	6.42	-0.1248859	6.42	-0.0944798	
6.422	-0.0517003	6.421	0.09588061	6.421	-0.1843885	6.421	-0.122816	6.422	-0.1255702	6.422	-0.09514954	
6.423	-0.05136288	6.423	0.09577958	6.423	-0.1848986	6.423	-0.1229817	6.423	-0.1254178	6.423	-0.09570336	
6.424	-0.05148165	6.424	0.09626978	6.424	-0.1858433	6.424	-0.1230264	6.424	-0.1258174	6.424	-0.09641383	
6.426	-0.05101814	6.425	0.09692536	6.425	-0.1846045	6.425	-0.1230868	6.426	-0.1257908	6.426	-0.09628028	
6.427	-0.05036809	6.427	0.09769272	6.427	-0.1843857	6.427	-0.1233868	6.427	-0.1254814	6.427	-0.09680784	
6.428	-0.05071075	6.428	0.09785172	6.428	-0.1853669	6.428	-0.1232697	6.428	-0.125269	6.428	-0.09839109	
6.43	-0.05120417	6.429	0.09805962	6.429	-0.1849304	6.429	-0.1224715	6.43	-0.1252127	6.43	-0.09816599	
6.431	-0.05178055	6.431	0.09835155	6.431	-0.1848106	6.431	-0.1225653	6.431	-0.1255772	6.431	-0.09824859	
6.432	-0.05176324	6.432	0.09810462	6.432	-0.1845509	6.432	-0.1223848	6.432	-0.1251325	6.432	-0.09852058	
6.434	-0.05130237	6.433	0.09867617	6.433	-0.1838609	6.433	-0.1225857	6.434	-0.1252085	6.434	-0.0984743	
6.435	-0.05111378	6.435	0.09948403	6.435	-0.1838987	6.435	-0.1220801	6.435	-0.1254347	6.435	-0.09824241	
6.436	-0.05074112	6.436	0.1003768	6.436	-0.1832551	6.436	-0.1227957	6.436	-0.1244182	6.436	-0.09818988	
6.437	-0.05079615	6.437	0.1011287	6.437	-0.1837079	6.437	-0.1234158	6.437	-0.1232336	6.437	-0.09819921	
6.439	-0.05053409	6.439	0.1007479	6.439	-0.1840456	6.439	-0.1239247	6.439	-0.1228307	6.439	-0.09807231	
6.44	-0.05122988	6.44	0.1007901	6.44	-0.184737	6.44	-0.1235671	6.44	-0.1223503	6.44	-0.09895071	
6.441	-0.05095561	6.441	0.1003102	6.441	-0.1846839	6.441	-0.1232115	6.441	-0.1209091	6.441	-0.09950421	
6.443	-0.05054031	6.443	0.1003803	6.443	-0.1845905	6.443	-0.1229463	6.443	-0.1206914	6.443	-0.09919027	
6.444	-0.05082517	6.444	0.1007562	6.444	-0.1844676	6.444	-0.1227643	6.444	-0.1205788	6.444	-0.09994376	
6.445	-0.05069926	6.445	0.09971172	6.445	-0.1831902	6.445	-0.1232089	6.445	-0.1211489	6.445	-0.09781018	
6.447	-0.05126145	6.447	0.09987847	6.447	-0.1829195	6.447	-0.1235716	6.447	-0.120693	6.447	-0.09829964	
6.448	-0.05203529	6.448	0.1000037	6.448	-0.1816089	6.448	-0.1244381	6.448	-0.1208388	6.448	-0.09819192	
6.449	-0.05196223	6.449	0.1001533	6.449	-0.18149	6.449	-0.125231	6.449	-0.1205787	6.449	-0.0985076	
6.451	-0.05076414	6.451	0.0999233	6.451	-0.1818439	6.451	-0.1250881	6.451	-0.1201737	6.451	-0.09873691	
6.452	-0.05140745	6.452	0.09968095	6.452	-0.1823492	6.452	-0.1253976	6.452	-0.1203773	6.452	-0.09888661	
6.453	-0.05093776	6.453	0.09894011	6.453	-0.182132	6.453	-0.125149	6.453	-0.1196699	6.453	-0.09839659	
6.455	-0.05042185	6.455	0.09830766	6.455	-0.1817179	6.455	-0.1247825	6.455	-0.1202179	6.455	-0.09907281	
6.456	-0.0504339	6.456	0.09801468	6.456	-0.1802613	6.456	-0.1247454	6.456	-0.1199091	6.456	-0.09901221	
6.457	-0.04959784	6.457	0.09849939	6.457	-0.1801455	6.457	-0.125999	6.457	-0.1196425	6.457	-0.09950688	
6.459	-0.05011177	6.459	0.09867334	6.459	-0.1805184	6.459	-0.1263419	6.459	-0.1190744	6.459	-0.1006792	
6.46	-0.0507879	6.46	0.0988975	6.46	-0.1797476	6.46	-0.1261208	6.46	-0.1189726	6.46	-0.1001325	
6.461	-0.05033647	6.461	0.09835923	6.461	-0.1789309	6.461	-0.125804	6.461	-0.119497	6.461	-0.1004791	
6.463	-0.0502417	6.463	0.09816252	6.463	-0.1786762	6.463	-0.126367	6.463	-0.1196114	6.463	-0.1008005	
6.464	-0.05001541	6.464	0.0983609	6.464	-0.1783161	6.464	-0.1267546	6.464	-0.1190456	6.464	-0.1000985	
6.465	-0.05051541	6.465	0.09820778	6.465	-0.1775892	6.465	-0.1255263	6.465	-0.1192279	6.465	-0.1004136	
6.467	-0.05051515	6.467	0.09832714	6.467	-0.1779809	6.467	-0.1259379	6.467	-0.1188528	6.467	-0.1011216	
6.468	-0.05124776	6.468	0.09831718	6.468	-0.1773664	6.468	-0.1257578	6.468	-0.119318	6.468	-0.1010562	
6.469	-0.05164843	6.469	0.09780784	6.469	-0.1774607	6.469	-0.1260506	6.469	-0.1189606	6.469	-0.1003525	
6.471	-0.05153326	6.471	0.09705254	6.471	-0.176807	6.471	-0.1262905	6.471	-0.1185679	6.471	-0.1006431	
6.472	-0.05129217	6.472	0.09712227	6.472	-0.1772009	6.472	-0.1261109	6.472	-0.1181401	6.472	-0.1010003	
6.473	-0.05170851	6.473	0.09719677	6.473	-0.1771699	6.473	-0.1263302	6.473	-0.1187074	6.473	-0.1014186	
6.475	-0.05201901	6.475	0.09775801	6.475	-0.176837	6.475	-0.1262687	6.475	-0.1181808	6.475	-0.1008844	
6.476	-0.05171948	6.476	0.09837374	6.476	-0.1767445	6.476	-0.126385	6.476	-0.1178637	6.476	-0.1017882	
6.477	-0.05160125	6.477	0.09858393	6.477	-0.1760672	6.477	-0.1263099	6.477	-0.1181311	6.477	-0.1019248	
6.479	-0.0515767	6.479	0.09906629	6.479	-0.1759015	6.479	-0.1267116	6.479	-0.118538	6.479	-0.1004733	
6.48	-0.0513403	6.48	0.09837303	6.48	-0.1761482	6.48	-0.1268823	6.48	-0.118152	6.48	-0.09996679	
6.481	-0.05037187	6.481	0.09820246	6.481	-0.1760159	6.481	-0.126776	6.481	-0.1178789	6.481	-0.09963789	
6.483	-0.04997125	6.483	0.09872378	6.483	-0.1759306	6.483	-0.1271416	6.483	-0.1170266	6.483	-0.09914702	
6.484	-0.04983041	6.484	0.09969335	6.484	-0.1755483	6.484	-0.1268924	6.484	-0.116018	6.484	-0.09933715	
6.485	-0.05045226	6.485	0.09963674	6.485	-0.1760429	6.485	-0.1262016	6.485	-0.1154908	6.485	-0.09928758	
6.487	-0.05122077	6.487	0.0992367	6.487	-0.1762182	6.487	-0.1256811	6.487	-0.116803	6.487	-0.1004737	
6.488	-0.05212193	6.488	0.09820731	6.488	-0.1760207	6.488	-0.1258486	6.488	-0.1170116	6.488	-0.0998318	
6.489	-0.05298332	6.489	0.09880224	6.489	-0.1757818	6.489	-0.1259261	6.489	-0.1171542	6.489	-0.09943363	
6.491	-0.0526484	6.491	0.09871141	6.491	-0.1751909	6.491	-0.1257548	6.491	-0.1174579	6.491	-0.09893123	
6.492	-0.05326081	6.492	0.09859516	6.492	-0.1765397	6.492	-0.1251833	6.492	-0.1161488	6.492	-0.09917845	
6.493	-0.0536942	6.493	0.09870298	6.493	-0.1774345	6.493	-0.1248147	6.493	-0.11611	6.493	-0.09812527	
6.495	-0.05312518	6.495	0.09840646	6.495	-0.1772416	6.495	-0.1250555	6.495	-0.1167589	6.495	-0.09679869	
6.496	-0.05370655	6.496	0.09752079	6.496	-0.1771283	6.496	-0.1263722	6.496	-0.1169176	6.496	-0.09637298	
6.497	-0.05332205	6.497	0.09731261	6.497	-0.1771451	6.497	-0.1268246	6.497	-0.1167659	6.497	-0.09627313	
6.499	-0.05254828	6.499	0.09798878	6.499	-0.1771911	6.499	-0.1272983	6.499	-0.1170627	6.499	-0.09635805	
6.5	-0.05282462	6.5	0.09677082	6.5	-0.177544	6.5	-0.1270997	6.5	-0.1174912	6.5	-0.09640679	
6.501	-0.05237551	6.501	0.09722161	6.501	-0.1773176	6.501	-0.127753	6.501	-0.1172248	6.501	-0.095681	
6.503	-0.05303469	6.503	0.09678114	6.503	-0.1773159	6.503	-0.1272542	6.503	-0.1176671	6.503	-0.09584335	
6.504	-0.05353777	6.504	0.09696387	6.504	-0.1761221	6.504	-0.1270986	6.504	-0.1188452	6.504	-0.09571229	
6.505	-0.0528877	6.505	0.09781624	6.505	-0.1754562	6.505	-0.1271511	6.505	-0.119124	6.505	-0.09602139	
6.507	-0.05283752	6.507	0.0976932	6.507	-0.1747891	6.506	-0.1273099	6.507	-0.1182518	6.507	-0.09574291	
6.508	-0.05338371	6.508	0.09791412	6.508	-0.1744488	6.508	-0.1267791	6.508	-0.119716	6.508	-0.09537745	
6.509	-0.05237885	6.509	0.09684224	6.509	-0.173978	6.509	-0.1267894	6.509	-0.1204972	6.509	-0.09611332	
6.511	-0.05188428	6.511	0.09702891	6.511	-0.173913	6.51	-0.1272787	6.511	-0.1199884	6.511	-0.0957309	
6.512	-0.05228287	6.512	0.09760481	6.512	-0.1744201	6.512	-0.1271928	6.512	-0.1197978	6.512	-0.09665415	
6.513	-0.05119221	6.513	0.09764958	6.513	-0.1745199	6.513	-0.1267935	6.513	-0.1201653	6.513	-0.09617443	
6.515	-0.05174923	6.515	0.09763972	6.515	-0.1750879	6.514	-0.1261888	6.515	-0.1199445	6.515	-0.09687132	
6.516	-0.05062648	6.516	0.09758692	6.516	-0.1749441	6.516	-0.1253028	6.516	-0.1204082	6.516	-0.09713721	
6.517	-0.05171975	6.517	0.09849851	6.517	-0.1750451	6.517	-0.124543	6.517	-0.1206606	6.517	-0.09701118	
6.519	-0.05149639	6.519	0.09856663	6.519	-0.1735081	6.518	-0.1238354	6.519	-0.1207438	6.519	-0.09751065	
6.52	-0.05185009	6.52	0.09821697	6.52	-0.1735084	6.52	-0.1234116	6.52	-0.1201776	6.52	-0.09682453	
6.521	-0.05214692	6.521	0.09894618	6.521	-0.1740847	6.521	-0.1238041	6.521	-0.1195393	6.521	-0.09617814	
6.523	-0.05152958	6.523	0.09841353	6.523	-0.1752351	6.522	-0.1241125	6.523	-0.1198805	6.523	-0.0959572	
6.524	-0.0521814	6.524	0.09744502	6.524	-0.1751901	6.524	-0.1238088	6.524	-0.1201497	6.524	-0.09614395	
6.525	-0.05155773	6.525	0.09783372	6.525	-0.1741592	6.525	-0.1234715	6.525	-0.1198438	6.525	-0.09460504	
6.527	-0.05085994	6.527	0.09669363	6.527	-0.1745728	6.526	-0.1219109	6.527	-0.1200966	6.527	-0.09370407	
6.528	-0.05113879	6.528	0.0967581	6.528	-0.1745304	6.528	-0.121775	6.528	-0.119615	6.528	-0.09323426	
6.529	-0.05188606	6.529	0.09702878	6.529	-0.1741217	6.529	-0.1210264	6.529	-0.1201548	6.529	-0.0929567	
6.531	-0.05292848	6.531	0.09640095	6.531	-0.1744422	6.53	-0.1201037	6.531	-0.1209308	6.531	-0.09344888	
6.532	-0.05335896	6.532	0.09653579	6.532	-0.174396	6.532	-0.1202753	6.532	-0.1200983	6.532	-0.09447524	
6.533	-0.05396365	6.533	0.09698105	6.533	-0.173416	6.533	-0.1203037	6.533	-0.1203097	6.533	-0.09349316	
6.535	-0.05378306	6.535	0.09750328	6.535	-0.1736804	6.534	-0.1202156	6.535	-0.1199031	6.535	-0.09397778	
6.536	-0.05464362	6.536	0.09717561	6.536	-0.1736597	6.536	-0.1204923	6.536	-0.1205318	6.536	-0.09401033	
6.537	-0.05541885	6.537	0.09639283	6.537	-0.1731914	6.537	-0.1198111	6.537	-0.1215903	6.537	-0.09338339	
6.539	-0.0553415	6.539	0.09544786	6.539	-0.1724047	6.538	-0.1208187	6.539	-0.1215221	6.539	-0.09375563	
6.54	-0.05561403	6.54	0.0950122	6.54	-0.1726385	6.54	-0.1209961	6.54	-0.1211232	6.54	-0.09341992	
6.541	-0.05440477	6.541	0.09420037	6.541	-0.1724199	6.541	-0.121397	6.541	-0.1212803	6.541	-0.09418789	
6.543	-0.05482979	6.543	0.09362788	6.543	-0.1727853	6.542	-0.1215943	6.543	-0.1219682	6.543	-0.0937897	
6.544	-0.05407439	6.544	0.09373882	6.544	-0.1722907	6.544	-0.1217487	6.544	-0.1211651	6.544	-0.094132	
6.545	-0.05446985	6.545	0.09386219	6.545	-0.1718446	6.545	-0.121837	6.545	-0.1205032	6.545	-0.0952867	
6.547	-0.05506534	6.547	0.09440436	6.546	-0.1724196	6.546	-0.1213491	6.547	-0.1210307	6.547	-0.09502416	
6.548	-0.05530035	6.548	0.09632099	6.548	-0.1731409	6.548	-0.1213364	6.548	-0.1209845	6.548	-0.0953759	
6.549	-0.05530383	6.549	0.09599841	6.549	-0.173171	6.549	-0.1211035	6.549	-0.1214884	6.549	-0.09538876	
6.551	-0.05680073	6.55	0.09648336	6.55	-0.1733624	6.55	-0.1207796	6.551	-0.122208	6.551	-0.0946143	
6.552	-0.05579046	6.552	0.09623051	6.552	-0.1733852	6.552	-0.1223493	6.552	-0.1225446	6.552	-0.09462488	
6.553	-0.05625248	6.553	0.09673797	6.553	-0.1731227	6.553	-0.1221009	6.553	-0.1220728	6.553	-0.09423175	
6.555	-0.05561229	6.554	0.09738962	6.554	-0.1732706	6.554	-0.1219271	6.555	-0.1213423	6.555	-0.09415992	
6.556	-0.05445056	6.556	0.09732285	6.556	-0.173649	6.556	-0.1223305	6.556	-0.1221304	6.556	-0.09419087	
6.557	-0.05492065	6.557	0.09787086	6.557	-0.173842	6.557	-0.1226961	6.557	-0.1219952	6.557	-0.09430729	
6.559	-0.05410129	6.558	0.09743953	6.558	-0.1733633	6.558	-0.1228696	6.559	-0.1218165	6.559	-0.09392897	
6.56	-0.05346562	6.56	0.09702341	6.56	-0.1731327	6.56	-0.1226531	6.56	-0.1218124	6.56	-0.0946557	
6.561	-0.05390383	6.561	0.09737234	6.561	-0.1724142	6.561	-0.1223426	6.561	-0.1218304	6.561	-0.0952414	
6.563	-0.05321549	6.562	0.09822997	6.562	-0.173358	6.562	-0.122085	6.563	-0.1223583	6.563	-0.09652794	
6.564	-0.05246414	6.564	0.09770533	6.564	-0.1735017	6.564	-0.1217183	6.564	-0.1228348	6.564	-0.09699003	
6.565	-0.05194784	6.565	0.09700546	6.565	-0.1740316	6.565	-0.1212698	6.565	-0.1230366	6.565	-0.09763017	
6.567	-0.05132729	6.566	0.09872264	6.566	-0.1745817	6.566	-0.1217222	6.567	-0.1231673	6.567	-0.09793097	
6.568	-0.05261055	6.568	0.09837084	6.568	-0.1749586	6.568	-0.1219646	6.568	-0.1241147	6.568	-0.0992826	
6.569	-0.05200082	6.569	0.09893912	6.569	-0.1747504	6.569	-0.1223169	6.569	-0.1251547	6.569	-0.09974585	
6.571	-0.05259351	6.57	0.09899069	6.57	-0.1743749	6.57	-0.1218883	6.571	-0.1249957	6.571	-0.100357	
6.572	-0.05325627	6.572	0.09812064	6.572	-0.174781	6.572	-0.1214175	6.572	-0.1245693	6.572	-0.09985167	
6.573	-0.05293471	6.573	0.09822644	6.573	-0.1755455	6.573	-0.1211127	6.573	-0.1254068	6.573	-0.09965721	
6.575	-0.05260771	6.574	0.09838491	6.574	-0.1751855	6.574	-0.1214602	6.575	-0.1261044	6.575	-0.1001278	
6.576	-0.05403395	6.576	0.09903433	6.576	-0.1755847	6.576	-0.1214714	6.576	-0.126422	6.576	-0.0994562	
6.577	-0.05390458	6.577	0.09822506	6.577	-0.1748569	6.577	-0.1211606	6.577	-0.1266295	6.577	-0.09884584	
6.578	-0.05337157	6.578	0.09789738	6.578	-0.1748825	6.578	-0.1209352	6.579	-0.126808	6.579	-0.09828078	
6.58	-0.05338453	6.58	0.09776001	6.58	-0.1742891	6.58	-0.1225958	6.58	-0.1268984	6.58	-0.09849387	
6.581	-0.05255462	6.581	0.09794404	6.581	-0.1747534	6.581	-0.1239647	6.581	-0.1272328	6.581	-0.09796594	
6.582	-0.05420171	6.582	0.09827588	6.582	-0.1758025	6.582	-0.1247089	6.582	-0.1269812	6.582	-0.09826211	
6.584	-0.05314182	6.584	0.09740951	6.584	-0.1760943	6.584	-0.1249349	6.584	-0.1276051	6.584	-0.09934208	
6.585	-0.05309946	6.585	0.09777643	6.585	-0.1766419	6.585	-0.1246585	6.585	-0.1273709	6.585	-0.09938974	
6.586	-0.05295419	6.586	0.09843852	6.586	-0.1765136	6.586	-0.1245817	6.586	-0.128381	6.586	-0.09939922	
6.588	-0.0532046	6.588	0.09812925	6.588	-0.1760608	6.588	-0.1252342	6.588	-0.1295318	6.588	-0.09982495	
6.589	-0.05299425	6.589	0.09852966	6.589	-0.1750276	6.589	-0.1250286	6.589	-0.1294896	6.589	-0.09973019	
6.59	-0.05384994	6.59	0.09923039	6.59	-0.1749396	6.59	-0.1244502	6.59	-0.1292154	6.59	-0.09925956	
6.592	-0.05451338	6.592	0.09901748	6.592	-0.1750564	6.592	-0.1253288	6.592	-0.1295434	6.592	-0.09885519	
6.593	-0.0536558	6.593	0.0998722	6.593	-0.175197	6.593	-0.1267363	6.593	-0.1295357	6.593	-0.09899451	
6.594	-0.05271597	6.594	0.0989846	6.594	-0.1758884	6.594	-0.1276451	6.594	-0.1294858	6.594	-0.09901813	
6.596	-0.05179748	6.596	0.09893158	6.596	-0.1765536	6.596	-0.1282107	6.596	-0.1293872	6.596	-0.09891816	
6.597	-0.05137623	6.597	0.09943001	6.597	-0.1768758	6.597	-0.1291886	6.597	-0.1291723	6.597	-0.09938761	
6.598	-0.05064279	6.598	0.09987673	6.598	-0.1774548	6.598	-0.12894	6.598	-0.1300033	6.598	-0.09953641	
6.6	-0.05001535	6.6	0.09967515	6.6	-0.1773278	6.6	-0.1284783	6.6	-0.1302921	6.6	-0.1005757	
6.601	-0.04991303	6.601	0.09966853	6.601	-0.1771805	6.601	-0.1283531	6.601	-0.1303167	6.601	-0.1008605	
6.602	-0.04937999	6.602	0.09936227	6.602	-0.1766375	6.602	-0.1276808	6.602	-0.1287778	6.602	-0.1004578	
6.604	-0.04870453	6.604	0.0996609	6.604	-0.1766735	6.604	-0.1281176	6.604	-0.1277974	6.604	-0.101151	
6.605	-0.04843772	6.605	0.1005164	6.605	-0.1762847	6.605	-0.1275561	6.605	-0.1276643	6.605	-0.100556	
6.606	-0.04817164	6.606	0.1007072	6.606	-0.1753862	6.606	-0.1274258	6.606	-0.1283063	6.606	-0.1003265	
6.608	-0.04946255	6.608	0.1008168	6.608	-0.174893	6.608	-0.1269242	6.608	-0.1284021	6.608	-0.09998616	
6.609	-0.04973593	6.609	0.1008319	6.609	-0.1745292	6.609	-0.1259258	6.609	-0.1284933	6.609	-0.09930295	
6.61	-0.04989851	6.61	0.1001949	6.61	-0.1745568	6.61	-0.1250811	6.61	-0.1290294	6.61	-0.09850856	
6.612	-0.04983823	6.612	0.09978342	6.612	-0.1746764	6.612	-0.1248015	6.612	-0.1295486	6.612	-0.09787132	
6.613	-0.04996982	6.613	0.09923884	6.613	-0.174413	6.613	-0.1253459	6.613	-0.1295367	6.613	-0.09846883	
6.614	-0.05028606	6.614	0.09792426	6.614	-0.1740623	6.614	-0.1254643	6.614	-0.1302099	6.614	-0.09823548	
6.616	-0.05051071	6.616	0.09842841	6.616	-0.1741726	6.616	-0.1252803	6.616	-0.1301954	6.616	-0.09851052	
6.617	-0.04989939	6.617	0.09732457	6.617	-0.1738068	6.617	-0.1253722	6.617	-0.1296072	6.617	-0.09861285	
6.618	-0.04906417	6.618	0.09789301	6.618	-0.1738029	6.618	-0.1244196	6.618	-0.1296422	6.618	-0.0980916	
6.62	-0.0478203	6.62	0.09789898	6.62	-0.1730246	6.62	-0.1236518	6.62	-0.1298704	6.62	-0.09839013	
6.621	-0.04794395	6.621	0.09796019	6.621	-0.1730609	6.621	-0.1239074	6.621	-0.130392	6.621	-0.09838534	
6.622	-0.04795754	6.622	0.0979358	6.622	-0.1727503	6.622	-0.1239	6.622	-0.1297471	6.622	-0.09862842	
6.624	-0.04815932	6.624	0.09706333	6.624	-0.1729931	6.624	-0.1232808	6.624	-0.1295256	6.624	-0.09901608	
6.625	-0.0485197	6.625	0.09714503	6.625	-0.1729448	6.625	-0.1227521	6.625	-0.1302168	6.625	-0.09879255	
6.626	-0.04857146	6.626	0.09739651	6.626	-0.1721769	6.626	-0.1228342	6.626	-0.1301845	6.626	-0.09871715	
6.628	-0.04880421	6.628	0.09713553	6.628	-0.1724913	6.628	-0.1235389	6.628	-0.1297391	6.628	-0.09870638	
6.629	-0.04878241	6.629	0.09734343	6.629	-0.1721861	6.629	-0.1243383	6.629	-0.1294161	6.629	-0.09742649	
6.63	-0.04956065	6.63	0.0980745	6.63	-0.1732208	6.63	-0.1248036	6.63	-0.1292492	6.63	-0.0962441	
6.632	-0.05100763	6.632	0.09772995	6.632	-0.1728941	6.632	-0.1259248	6.632	-0.1297908	6.632	-0.0951885	
6.633	-0.05134501	6.633	0.09766059	6.633	-0.1727944	6.633	-0.1258034	6.633	-0.129936	6.633	-0.09457305	
6.634	-0.05023982	6.634	0.09766568	6.634	-0.1722226	6.634	-0.1246588	6.634	-0.129446	6.634	-0.09465393	
6.636	-0.04988325	6.636	0.09696507	6.636	-0.173051	6.636	-0.1241587	6.636	-0.1293413	6.636	-0.09429129	
