Chrom.1 (5)		Chrom.1		Chrom.1 (1)		Chrom.1 (2)		Chrom.1 (3)		Chrom.1 (4)		
UV		UV		UV		UV		UV		UV		
ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	
0.062	-0.07400384	0.062	-0.3786013	0.062	-0.1640595	0.062	-0.1389663	0.062	-0.108905	0.062	-0.1055298	
0.063	-0.07486889	0.063	-0.3798751	0.063	-0.1643741	0.063	-0.1408769	0.063	-0.1110653	0.063	-0.1064057	
0.064	-0.07516611	0.064	-0.3805979	0.064	-0.1651558	0.064	-0.1424199	0.064	-0.1124237	0.064	-0.1074204	
0.066	-0.07664149	0.066	-0.3809487	0.066	-0.1667841	0.066	-0.1432005	0.066	-0.1139172	0.066	-0.1094724	
0.067	-0.07812312	0.067	-0.3814723	0.067	-0.1682933	0.067	-0.1441857	0.067	-0.1153404	0.067	-0.1108645	
0.068	-0.07929476	0.068	-0.3830561	0.068	-0.1693835	0.068	-0.1463112	0.068	-0.1167614	0.068	-0.1118596	
0.07	-0.08029953	0.07	-0.3836389	0.07	-0.1702458	0.07	-0.1474236	0.07	-0.1176225	0.07	-0.1125457	
0.071	-0.0812861	0.071	-0.3850657	0.071	-0.1708592	0.071	-0.1491569	0.071	-0.1178813	0.071	-0.1129866	
0.072	-0.08158105	0.072	-0.3871143	0.072	-0.1715358	0.072	-0.1513378	0.072	-0.1195796	0.072	-0.1136458	
0.074	-0.0821478	0.074	-0.3880285	0.074	-0.1722968	0.074	-0.1529778	0.074	-0.1214778	0.074	-0.1147968	
0.075	-0.08405408	0.075	-0.388859	0.075	-0.1724961	0.075	-0.153993	0.075	-0.122607	0.075	-0.1153152	
0.076	-0.08523631	0.076	-0.3904145	0.076	-0.1739276	0.076	-0.1555328	0.076	-0.1240626	0.076	-0.1159245	
0.078	-0.08636035	0.078	-0.3912725	0.078	-0.1747657	0.078	-0.1566365	0.078	-0.1258721	0.078	-0.1168386	
0.079	-0.08739117	0.079	-0.3918197	0.079	-0.1754299	0.079	-0.1577132	0.079	-0.1267485	0.079	-0.1173748	
