       -,        -,        -,        -,        -,        -,    56831,    54732,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    52225,    49889,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    42633,    43441,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    34910,    31719,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    30508,    28754,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    25620,    25995,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    25256,    26060,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      798

       -,        -,        -,        -,        -,        -,    58140,    55562,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    51559,    49761,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    41211,    43360,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    35562,    32464,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    30040,    28611,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    25827,    25669,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    24394,    25191,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      866

       -,        -,        -,        -,        -,        -,    57545,    54745,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    53044,    50809,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    41136,    42686,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    34996,    32969,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    28972,    27957,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    25833,    25625,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    24918,    25613,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      885

       -,        -,        -,        -,        -,        -,    56377,    55622,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    51820,    49553,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    40312,    42809,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    35200,    32325,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    28805,    28447,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    25909,    25700,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    24209,    25547,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      777

       -,        -,        -,        -,        -,        -,    56014,    54659,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    51401,    50299,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    41625,    43928,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    35192,    32630,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    29538,    27820,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    25379,    24702,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    23949,    24560,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      870

       -,        -,        -,        -,        -,        -,    56463,    55309,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    52642,    48549,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    41623,    43117,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    34887,    32916,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    29130,    27108,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    26193,    25720,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    23804,    23716,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      871

       -,        -,        -,        -,        -,        -,    57225,    54810,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    51650,    48996,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    40999,    43049,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    35898,    33398,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    29485,    28303,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    25166,    25157,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    24730,    24839,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      905

       -,        -,        -,        -,        -,        -,    55981,    54207,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    51955,    49548,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    41988,    44241,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    35525,    32324,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    29175,    28364,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    25495,    24678,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    25171,    24181,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      850

       -,        -,        -,        -,        -,        -,    56160,    54342,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    51218,    49545,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    41424,    45054,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    35669,    32360,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    29631,    27780,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    25747,    25622,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    24573,    24617,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      851

       -,        -,        -,        -,        -,        -,    56371,    54661,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    51812,    48082,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    41596,    45522,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,    35191,    32553,        -,        -,        -,        -
