   53301,   100024,    69439,        -,        -,        -,        -,        -,        -,        -,        -,        -
   43512,   104144,    42473,        -,        -,        -,        -,        -,        -,        -,        -,        -
   32967,    73839,    50998,        -,        -,        -,        -,        -,        -,        -,        -,        -
   28353,    58526,    31273,        -,        -,        -,        -,        -,        -,        -,        -,        -
   25320,    33441,    27414,        -,        -,        -,        -,        -,        -,        -,        -,        -
   26031,    29446,    30969,        -,        -,        -,        -,        -,        -,        -,        -,        -
   26367,    25379,    23280,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      698

   53379,   102334,    70985,        -,        -,        -,        -,        -,        -,        -,        -,        -
   43799,   105122,    43876,        -,        -,        -,        -,        -,        -,        -,        -,        -
   33327,    74472,    50862,        -,        -,        -,        -,        -,        -,        -,        -,        -
   28102,    60278,    32413,        -,        -,        -,        -,        -,        -,        -,        -,        -
   25433,    34628,    27449,        -,        -,        -,        -,        -,        -,        -,        -,        -
   25648,    29636,    29029,        -,        -,        -,        -,        -,        -,        -,        -,        -
   26448,    25670,    23595,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      714

   54183,   104539,    71898,        -,        -,        -,        -,        -,        -,        -,        -,        -
   43911,   110344,    44336,        -,        -,        -,        -,        -,        -,        -,        -,        -
   33443,    76303,    52432,        -,        -,        -,        -,        -,        -,        -,        -,        -
   28182,    62990,    33572,        -,        -,        -,        -,        -,        -,        -,        -,        -
   25126,    35032,    28328,        -,        -,        -,        -,        -,        -,        -,        -,        -
   25865,    30040,    28340,        -,        -,        -,        -,        -,        -,        -,        -,        -
   27343,    26406,    23828,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      627

   54205,   106690,    74274,        -,        -,        -,        -,        -,        -,        -,        -,        -
   43080,   112660,    46064,        -,        -,        -,        -,        -,        -,        -,        -,        -
   32726,    75989,    55440,        -,        -,        -,        -,        -,        -,        -,        -,        -
   28378,    64002,    34256,        -,        -,        -,        -,        -,        -,        -,        -,        -
   25133,    35902,    28448,        -,        -,        -,        -,        -,        -,        -,        -,        -
   25331,    30022,    28457,        -,        -,        -,        -,        -,        -,        -,        -,        -
   26813,    26121,    24128,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      770

   53333,   108317,    74263,        -,        -,        -,        -,        -,        -,        -,        -,        -
   43676,   113616,    45585,        -,        -,        -,        -,        -,        -,        -,        -,        -
   33308,    79259,    55276,        -,        -,        -,        -,        -,        -,        -,        -,        -
   28195,    66404,    35835,        -,        -,        -,        -,        -,        -,        -,        -,        -
   25156,    35412,    28797,        -,        -,        -,        -,        -,        -,        -,        -,        -
   24445,    29647,    27364,        -,        -,        -,        -,        -,        -,        -,        -,        -
   26366,    25976,    24297,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      761

   52804,   110429,    77308,        -,        -,        -,        -,        -,        -,        -,        -,        -
   42350,   116159,    46722,        -,        -,        -,        -,        -,        -,        -,        -,        -
   32583,    81374,    55832,        -,        -,        -,        -,        -,        -,        -,        -,        -
   28355,    66916,    36090,        -,        -,        -,        -,        -,        -,        -,        -,        -
   25073,    36256,    29219,        -,        -,        -,        -,        -,        -,        -,        -,        -
   24481,    31040,    26433,        -,        -,        -,        -,        -,        -,        -,        -,        -
   27023,    26917,    23988,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      742

   54209,   112792,    78639,        -,        -,        -,        -,        -,        -,        -,        -,        -
   43542,   119717,    48183,        -,        -,        -,        -,        -,        -,        -,        -,        -
   33094,    82797,    56915,        -,        -,        -,        -,        -,        -,        -,        -,        -
   28140,    67494,    35745,        -,        -,        -,        -,        -,        -,        -,        -,        -
   24616,    37008,    30361,        -,        -,        -,        -,        -,        -,        -,        -,        -
   25181,    31604,    25150,        -,        -,        -,        -,        -,        -,        -,        -,        -
   26327,    26950,    24349,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      808

   53645,   116487,    80732,        -,        -,        -,        -,        -,        -,        -,        -,        -
   43733,   120514,    49295,        -,        -,        -,        -,        -,        -,        -,        -,        -
   33124,    82788,    59628,        -,        -,        -,        -,        -,        -,        -,        -,        -
   28307,    68737,    36383,        -,        -,        -,        -,        -,        -,        -,        -,        -
   24611,    37057,    29642,        -,        -,        -,        -,        -,        -,        -,        -,        -
   24806,    31734,    26523,        -,        -,        -,        -,        -,        -,        -,        -,        -
   25969,    26335,    24151,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      838

   52647,   118322,    81832,        -,        -,        -,        -,        -,        -,        -,        -,        -
   42539,   121695,    50944,        -,        -,        -,        -,        -,        -,        -,        -,        -
   32322,    84138,    60302,        -,        -,        -,        -,        -,        -,        -,        -,        -
   27129,    70050,    37475,        -,        -,        -,        -,        -,        -,        -,        -,        -
   24504,    37878,    29278,        -,        -,        -,        -,        -,        -,        -,        -,        -
   23388,    31525,    25919,        -,        -,        -,        -,        -,        -,        -,        -,        -
   26268,    27601,    24014,        -,        -,        -,        -,        -,        -,        -,        -,        -
