refinement_id,data_reduction_id,final_pdb_path,refinement_mtz_path,rfree,rwork,resolution_cut,crystal_id,run_id,a,b,c,alpha,beta,gamma,method,mtz_path,target_id,compound_drop_id,creator_id,compound_id,name,beamline,volume
64219,37053,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/staraniso_dmpl2/MPro_5477_1/MPro_5477_1_001/MPro_5477_1_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/staraniso_dmpl2/MPro_5477_1/MPro_5477_1_001/MPro_5477_1_001_003_aligned.mtz,0.2643,0.2348,1.384,MPro_5477_1,1,113.343,53.322,44.669,90.0,103.033,90.0,staraniso,/asap3/petra3/gpfs/p11/2020/data/11010091/scratch_cc/autoproc1/MPro_5477_1/MPro_5477_1_001/staraniso_alldata-unique.mtz,MPro,5477,Susanne/Huijong,DOM_SIM_052,,p11,263.0107336514525
60213,23343,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5477_2/MPro_5477_2_001/MPro_5477_2_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5477_2/MPro_5477_2_001/MPro_5477_2_001_003_aligned.mtz,0.2133,0.186,1.5599384715249616,MPro_5477_2,1,113.23641119973625,53.19301018970661,44.70734030418145,90.0,102.99341576613614,90.00000000000001,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/MPro_5477_2/MPro_5477_2_001/DataFiles/SARSCOV2_MPro_5477_2_001_free.mtz,MPro,5477,Susanne/Huijong,DOM_SIM_052,,p11,262.39463455322436
60214,23344,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5481_0/MPro_5481_0_001/MPro_5481_0_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5481_0/MPro_5481_0_001/MPro_5481_0_001_003_aligned.mtz,0.2442,0.1998,2.0674131239407156,MPro_5481_0,1,114.47962662357756,53.684108227636344,44.96990711259898,90.0,103.03761392829306,90.0,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/MPro_5481_0/MPro_5481_0_001/DataFiles/SARSCOV2_MPro_5481_0_001_free.mtz,MPro,5481,Susanne/Huijong,DOM_SIM_053,,p11,269.24890748924525
60215,23345,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5481_1/MPro_5481_1_001/MPro_5481_1_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5481_1/MPro_5481_1_001/MPro_5481_1_001_003_aligned.mtz,0.2176,0.1839,1.6098703533254872,MPro_5481_1,1,113.05315587782954,53.172899314035284,44.69650596699809,89.99999999999997,102.97818184522193,90.0,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/MPro_5481_1/MPro_5481_1_001/DataFiles/SARSCOV2_MPro_5481_1_001_free.mtz,MPro,5481,Susanne/Huijong,DOM_SIM_053,,p11,261.8235376184778
64222,37057,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/staraniso_dmpl2/MPro_5481_2/MPro_5481_2_001/MPro_5481_2_001_001_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/staraniso_dmpl2/MPro_5481_2/MPro_5481_2_001/MPro_5481_2_001_001_aligned.mtz,0.2417,0.1716,2.464,MPro_5481_2,1,112.766,53.031,44.759,90.0,102.603,90.0,staraniso,/asap3/petra3/gpfs/p11/2020/data/11010091/scratch_cc/autoproc1/MPro_5481_2/MPro_5481_2_001/staraniso_alldata-unique.mtz,MPro,5481,Susanne/Huijong,DOM_SIM_053,,p11,261.2137662506749
60217,23347,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5481_3/MPro_5481_3_001/MPro_5481_3_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5481_3/MPro_5481_3_001/MPro_5481_3_001_003_aligned.mtz,0.2081,0.1741,1.4697478391214926,MPro_5481_3,1,113.12326622236178,53.17102713222755,44.685536195170236,90.0,102.93215330937979,90.0,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/MPro_5481_3/MPro_5481_3_001/DataFiles/SARSCOV2_MPro_5481_3_001_free.mtz,MPro,5481,Susanne/Huijong,DOM_SIM_053,,p11,261.9607951539113
60218,23348,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5485_0/MPro_5485_0_001/MPro_5485_0_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5485_0/MPro_5485_0_001/MPro_5485_0_001_003_aligned.mtz,0.2404,0.2034,1.8488820422788144,MPro_5485_0,1,113.41446439229661,53.283048582142285,44.73203456288167,90.0,102.9735380816927,89.99999999999999,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/MPro_5485_0/MPro_5485_0_001/DataFiles/SARSCOV2_MPro_5485_0_001_free.mtz,MPro,5485,Susanne/Huijong,DOM_SIM_054,,p11,263.4185494897401
60219,23349,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5485_1/MPro_5485_1_001/MPro_5485_1_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5485_1/MPro_5485_1_001/MPro_5485_1_001_003_aligned.mtz,0.2209,0.1998,1.789081177181034,MPro_5485_1,1,114.01931675481688,53.60537243905703,44.52002708908824,90.00000000000003,102.97317262902747,89.99999999999999,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/MPro_5485_1/MPro_5485_1_001/DataFiles/SARSCOV2_MPro_5485_1_001_free.mtz,MPro,5485,Susanne/Huijong,DOM_SIM_054,,p11,265.16304716834435
60220,23350,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5487_0/MPro_5487_0_001/MPro_5487_0_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5487_0/MPro_5487_0_001/MPro_5487_0_001_003_aligned.mtz,0.2513,0.2188,1.7195566735493963,MPro_5487_0,1,113.42820240732493,53.300066984182436,44.703239163377326,90.0,103.03925537185589,90.0,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/MPro_5487_0/MPro_5487_0_001/DataFiles/SARSCOV2_MPro_5487_0_001_free.mtz,MPro,5487,Susanne/Huijong,DOM_SIM_055,,p11,263.29519148942853
60221,23351,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5488_0/MPro_5488_0_001/MPro_5488_0_001_003_aligned.pdb,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS_dmpl2/MPro_5488_0/MPro_5488_0_001/MPro_5488_0_001_003_aligned.mtz,0.2112,0.1895,1.4101644316585513,MPro_5488_0,1,113.67771820282591,53.37448663569074,44.670899547812596,90.0,103.08172453014684,90.0,DIALS-dials,/asap3/petra3/gpfs/p11/2020/data/11009999/scratch_cc/DIALS/MPro_5488_0/MPro_5488_0_001/DataFiles/SARSCOV2_MPro_5488_0_001_free.mtz,MPro,5488,Susanne/Huijong,DOM_SIM_056,,p11,264.006251074609
