       -,        -,        -,        -,        -,    74577,    56029,    55532,    56793,        -,        -,        -
       -,        -,        -,        -,        -,    69225,    47013,    46731,    49199,        -,        -,        -
       -,        -,        -,        -,        -,    54419,    33493,    31524,    34345,        -,        -,        -
       -,        -,        -,        -,        -,    39964,    23218,    21169,    23656,        -,        -,        -
       -,        -,        -,        -,        -,    21443,    13556,    13170,    14064,        -,        -,        -
       -,        -,        -,        -,        -,    14609,     9845,     9336,     9798,        -,        -,        -
       -,        -,        -,        -,        -,     9159,     7282,     6801,    14960,        -,        -,        -
       -,        -,        -,        -,        -,     7653,     6472,     5898,     6206,        -,        -,      586

       -,        -,        -,        -,        -,    74169,    56278,    53975,    57316,        -,        -,        -
       -,        -,        -,        -,        -,    70492,    45273,    48040,    51002,        -,        -,        -
       -,        -,        -,        -,        -,    54920,    33159,    32317,    35522,        -,        -,        -
       -,        -,        -,        -,        -,    39556,    23600,    21749,    24401,        -,        -,        -
       -,        -,        -,        -,        -,    22401,    13403,    13069,    14440,        -,        -,        -
       -,        -,        -,        -,        -,    14560,    10134,     8930,    10087,        -,        -,        -
       -,        -,        -,        -,        -,     9175,     7315,     6807,    10092,        -,        -,        -
       -,        -,        -,        -,        -,     7784,     6094,     6159,     6442,        -,        -,      676

       -,        -,        -,        -,        -,    75821,    56519,    54536,    59196,        -,        -,        -
       -,        -,        -,        -,        -,    71204,    45913,    48442,    52209,        -,        -,        -
       -,        -,        -,        -,        -,    55963,    33856,    31314,    35996,        -,        -,        -
       -,        -,        -,        -,        -,    41234,    23329,    21628,    24835,        -,        -,        -
       -,        -,        -,        -,        -,    22405,    13757,    13244,    14734,        -,        -,        -
       -,        -,        -,        -,        -,    14848,    10291,     9015,    10101,        -,        -,        -
       -,        -,        -,        -,        -,     9436,     7363,     6946,    21267,        -,        -,        -
       -,        -,        -,        -,        -,     7570,     6362,     6138,     5966,        -,        -,      783

       -,        -,        -,        -,        -,    76793,    56525,    56025,    59845,        -,        -,        -
       -,        -,        -,        -,        -,    71518,    47439,    48233,    52859,        -,        -,        -
       -,        -,        -,        -,        -,    58014,    35183,    32113,    37094,        -,        -,        -
       -,        -,        -,        -,        -,    41934,    23195,    22254,    24888,        -,        -,        -
       -,        -,        -,        -,        -,    23052,    13724,    13282,    15149,        -,        -,        -
       -,        -,        -,        -,        -,    15118,    10253,     9080,    10164,        -,        -,        -
       -,        -,        -,        -,        -,     9857,     7030,     6819,     7497,        -,        -,        -
       -,        -,        -,        -,        -,     7860,     6251,     6178,     6444,        -,        -,      661

       -,        -,        -,        -,        -,    77167,    57366,    55646,    60471,        -,        -,        -
       -,        -,        -,        -,        -,    73020,    48056,    48499,    54330,        -,        -,        -
       -,        -,        -,        -,        -,    58431,    35470,    33037,    38440,        -,        -,        -
       -,        -,        -,        -,        -,    43040,    23349,    22291,    25660,        -,        -,        -
       -,        -,        -,        -,        -,    23500,    13575,    13728,    15437,        -,        -,        -
       -,        -,        -,        -,        -,    15292,    10330,     9178,    10356,        -,        -,        -
       -,        -,        -,        -,        -,     9742,     7167,     6711,     7471,        -,        -,        -
       -,        -,        -,        -,        -,     7743,     5851,     6176,     6443,        -,        -,      735

       -,        -,        -,        -,        -,    77337,    57361,    56234,    62748,        -,        -,        -
       -,        -,        -,        -,        -,    74387,    47967,    48915,    55275,        -,        -,        -
       -,        -,        -,        -,        -,    59531,    35091,    32486,    38252,        -,        -,        -
       -,        -,        -,        -,        -,    43723,    23902,    22490,    26971,        -,        -,        -
       -,        -,        -,        -,        -,    24272,    14025,    13110,    15582,        -,        -,        -
       -,        -,        -,        -,        -,    15628,    10481,     8933,    10494,        -,        -,        -
       -,        -,        -,        -,        -,     9436,     7099,     6819,     7603,        -,        -,        -
       -,        -,        -,        -,        -,     8008,     6493,     6123,     6561,        -,        -,      695

       -,        -,        -,        -,        -,    80031,    58662,    56420,    62752,        -,        -,        -
       -,        -,        -,        -,        -,    75570,    47777,    50183,    56589,        -,        -,        -
       -,        -,        -,        -,        -,    60454,    35390,    33085,    40464,        -,        -,        -
       -,        -,        -,        -,        -,    43822,    24311,    22530,    27374,        -,        -,        -
       -,        -,        -,        -,        -,    23982,    14374,    13935,    16039,        -,        -,        -
       -,        -,        -,        -,        -,    15812,    10500,     9508,    10557,        -,        -,        -
       -,        -,        -,        -,        -,     9787,     7268,     6820,    16975,        -,        -,        -
       -,        -,        -,        -,        -,     7518,     6337,     5920,     6497,        -,        -,      695

       -,        -,        -,        -,        -,    80176,    58369,    57714,    62701,        -,        -,        -
       -,        -,        -,        -,        -,    77543,    48204,    50678,    56715,        -,        -,        -
       -,        -,        -,        -,        -,    61448,    36031,    34186,    39956,        -,        -,        -
       -,        -,        -,        -,        -,    44805,    24369,    23328,    27603,        -,        -,        -
       -,        -,        -,        -,        -,    24612,    13844,    14114,    15833,        -,        -,        -
       -,        -,        -,        -,        -,    16124,    10552,     9333,    10923,        -,        -,        -
       -,        -,        -,        -,        -,    10198,     7567,     6745,     8093,        -,        -,        -
       -,        -,        -,        -,        -,     8342,     6713,     6063,     6477,        -,        -,      662

