       -,    35131,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    31353,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    25938,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    20901,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    17602,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    16714,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    15287,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1044

       -,    35431,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    31040,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    26772,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    20906,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    17638,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    17018,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    15440,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1028

       -,    35263,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    31722,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    26871,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    21361,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    17330,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    16508,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    15966,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1193

       -,    35528,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    32163,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    27197,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    21234,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    17267,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    16678,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,    15549,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,     1054

