       -,        -,        -,        -,    71200,    60164,    57996,    56787,        -,        -,        -,        -
       -,        -,        -,        -,    63310,    47492,    50576,    49940,        -,        -,        -,        -
       -,        -,        -,        -,    55644,    45834,    45525,    44081,        -,        -,        -,        -
       -,        -,        -,        -,    42181,    36155,    37556,    36730,        -,        -,        -,        -
       -,        -,        -,        -,    36390,    33018,    33376,    31446,        -,        -,        -,        -
       -,        -,        -,        -,    33718,    31796,    30750,    29916,        -,        -,        -,        -
       -,        -,        -,        -,    31191,    30297,    30828,    31226,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      769

       -,        -,        -,        -,    70368,    61932,    57982,    55659,        -,        -,        -,        -
       -,        -,        -,        -,    64169,    47321,    52399,    48920,        -,        -,        -,        -
       -,        -,        -,        -,    55740,    45751,    46331,    42683,        -,        -,        -,        -
       -,        -,        -,        -,    42113,    35695,    36102,    36012,        -,        -,        -,        -
       -,        -,        -,        -,    36180,    32895,    33125,    31375,        -,        -,        -,        -
       -,        -,        -,        -,    32130,    32138,    30860,    29723,        -,        -,        -,        -
       -,        -,        -,        -,    31106,    30390,    30756,    30717,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      812

       -,        -,        -,        -,    71547,    60530,    58164,    56664,        -,        -,        -,        -
       -,        -,        -,        -,    63566,    46545,    51282,    49075,        -,        -,        -,        -
       -,        -,        -,        -,    56252,    46015,    44945,    43367,        -,        -,        -,        -
       -,        -,        -,        -,    42641,    36872,    37695,    36202,        -,        -,        -,        -
       -,        -,        -,        -,    36574,    33070,    33332,    32133,        -,        -,        -,        -
       -,        -,        -,        -,    32565,    32057,    31354,    29564,        -,        -,        -,        -
       -,        -,        -,        -,    30243,    29202,    30192,    31306,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      702

       -,        -,        -,        -,    71388,    60739,    59868,    56330,        -,        -,        -,        -
       -,        -,        -,        -,    65733,    47993,    51331,    48332,        -,        -,        -,        -
       -,        -,        -,        -,    58552,    46224,    45467,    42584,        -,        -,        -,        -
       -,        -,        -,        -,    43214,    36626,    36571,    35695,        -,        -,        -,        -
       -,        -,        -,        -,    36342,    32595,    33222,    32205,        -,        -,        -,        -
       -,        -,        -,        -,    33322,    31914,    30980,    30093,        -,        -,        -,        -
       -,        -,        -,        -,    29969,    29718,    30306,    31052,        -,        -,        -,        -
       -,        -,        -,        -,        -,        -,        -,        -,        -,        -,        -,      633

       -,        -,        -,        -,    72166,    61547,    58959,    56700,        -,        -,        -,        -
       -,        -,        -,        -,    66190,    47694,    51927,    48209,        -,        -,        -,        -
       -,        -,        -,        -,    57730,    45575,    45654,    44225,        -,        -,        -,        -
       -,        -,        -,        -,    43725,    36801,    37049,    36687,        -,        -,        -,        -
       -,        -,        -,        -,    37019,    32591,    33620,    32006,        -,        -,        -,        -
       -,        -,        -,        -,    32440,    31219,    31001,    29169,        -,        -,        -,        -
